symbol,asOfDate,periodType,currencyCode,Amortization,BasicAverageShares,BasicEPS,CostOfRevenue,DepreciationAndAmortizationInIncomeStatement,DepreciationIncomeStatement,DilutedAverageShares,DilutedEPS,DilutedNIAvailtoComStockholders,EBIT,EBITDA,GrossProfit,InterestExpense,InterestExpenseNonOperating,InterestIncome,InterestIncomeNonOperating,NetIncome,NetIncomeCommonStockholders,NetIncomeContinuousOperations,NetIncomeFromContinuingAndDiscontinuedOperation,NetIncomeFromContinuingOperationNetMinorityInterest,NetIncomeIncludingNoncontrollingInterests,NetInterestIncome,NetNonOperatingInterestIncomeExpense,NormalizedEBITDA,NormalizedIncome,OperatingExpense,OperatingIncome,OperatingRevenue,OtherOperatingExpenses,OtherunderPreferredStockDividend,PretaxIncome,ReconciledCostOfRevenue,ReconciledDepreciation,RentAndLandingFees,RentExpenseSupplemental,RestructuringAndMergernAcquisition,SpecialIncomeCharges,TaxEffectOfUnusualItems,TaxProvision,TaxRateForCalcs,TotalExpenses,TotalRevenue,TotalUnusualItems,TotalUnusualItemsExcludingGoodwill,WriteOff
VLT.MI,2023-06-30,TTM,EUR,,,0.522166,,,,,0.522166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VLT.MI,2023-12-31,TTM,EUR,331824.0,6109700.0,0.520747,14408124.0,1476868.0,1145044.0,6109700.0,0.520747,3181610.0,4456353.0,5933221.0,16316933.0,160116.0,160116.0,71113.0,71113.0,3181610.0,3181610.0,3181610.0,3181610.0,3181610.0,3181610.0,-89003.0,-89003.0,6199580.0,3378864.122152,11665334.0,4651599.0,30725057.0,173995.0,0.0,4296237.0,14408124.0,1476868.0,2049354.0,2049354.0,283003.0,-328835.0,-69104.877848,1114627.0,0.259443,26073458.0,30725057.0,-266359.0,-266359.0,45832.0
