asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AccumulatedDepreciation,AdditionalPaidInCapital,Amortization,AmortizationCashFlow,AvailableForSaleSecurities,BasicAverageShares,BasicEPS,BeginningCashPosition,CapitalExpenditure,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CashEquivalents,CashFinancial,ChangeInAccruedExpense,ChangeInCashSupplementalAsReported,ChangeInInventory,ChangeInOtherCurrentAssets,ChangeInPayable,ChangeInReceivables,ChangeInWorkingCapital,ChangesInCash,CommonStock,CommonStockDividendPaid,CommonStockEquity,CommonStockIssuance,CommonStockPayments,ConstructionInProgress,CostOfRevenue,CurrentAssets,CurrentDebt,CurrentDebtAndCapitalLeaseObligation,CurrentDeferredTaxesAssets,CurrentLiabilities,DeferredTax,Depreciation,DepreciationAndAmortization,DepreciationAndAmortizationInIncomeStatement,DepreciationIncomeStatement,DilutedAverageShares,DilutedEPS,DilutedNIAvailtoComStockholders,DividendsPayable,EBIT,EBITDA,EndCashPosition,EnterpriseValue,FinancingCashFlow,FinishedGoods,FixedAssetsRevaluationReserve,FreeCashFlow,GainLossOnInvestmentSecurities,GainLossOnSaleOfPPE,GoodwillAndOtherIntangibleAssets,GrossPPE,GrossProfit,ImpairmentOfCapitalAssets,InterestExpense,InterestExpenseNonOperating,InterestIncome,InterestIncomeNonOperating,InterestPaidCFO,Inventory,InvestedCapital,InvestingCashFlow,InvestmentinFinancialAssets,InvestmentsInOtherVenturesUnderEquityMethod,IssuanceOfCapitalStock,IssuanceOfDebt,LandAndImprovements,LongTermDebt,LongTermDebtAndCapitalLeaseObligation,LongTermDebtIssuance,LongTermDebtPayments,LongTermEquityInvestment,LongTermProvisions,MachineryFurnitureEquipment,MarketCap,NetCommonStockIssuance,NetDebt,NetIncome,NetIncomeCommonStockholders,NetIncomeContinuousOperations,NetIncomeFromContinuingAndDiscontinuedOperation,NetIncomeFromContinuingOperationNetMinorityInterest,NetIncomeFromContinuingOperations,NetIncomeIncludingNoncontrollingInterests,NetIntangiblesPurchaseAndSale,NetInterestIncome,NetInvestmentPurchaseAndSale,NetIssuancePaymentsOfDebt,NetLongTermDebtIssuance,NetNonOperatingInterestIncomeExpense,NetOtherFinancingCharges,NetPPE,NetPPEPurchaseAndSale,NetShortTermDebtIssuance,NetTangibleAssets,NonCurrentPensionAndOtherPostretirementBenefitPlans,NonCurrentPrepaidAssets,NormalizedEBITDA,NormalizedIncome,OperatingCashFlow,OperatingExpense,OperatingIncome,OperatingRevenue,OrdinarySharesNumber,OtherCashAdjustmentOutsideChangeinCash,OtherCurrentAssets,OtherCurrentLiabilities,OtherIntangibleAssets,OtherNonCashItems,OtherNonCurrentAssets,OtherNonCurrentLiabilities,OtherOperatingExpenses,OtherPayable,OtherProperties,OtherReceivables,OtherShortTermInvestments,OtherunderPreferredStockDividend,Payables,PensionandOtherPostRetirementBenefitPlansCurrent,PrepaidAssets,PretaxIncome,Properties,ProvisionandWriteOffofAssets,PurchaseOfIntangibles,PurchaseOfInvestment,PurchaseOfPPE,RawMaterials,ReconciledCostOfRevenue,ReconciledDepreciation,RentAndLandingFees,RentExpenseSupplemental,RepaymentOfDebt,RepurchaseOfCapitalStock,RestructuringAndMergernAcquisition,RetainedEarnings,SaleOfIntangibles,SaleOfInvestment,SaleOfPPE,ShareIssued,SpecialIncomeCharges,StockholdersEquity,TangibleBookValue,TaxEffectOfUnusualItems,TaxProvision,TaxRateForCalcs,TaxesReceivable,TaxesRefundPaid,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalExpenses,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,TotalOperatingIncomeAsReported,TotalOtherFinanceCost,TotalRevenue,TotalTaxPayable,TotalUnusualItems,TotalUnusualItemsExcludingGoodwill,TradeandOtherPayablesNonCurrent,WorkInProcess,WorkingCapital,WriteOff
2020-12-31,12M,EUR,2539000.0,3072000.0,,,49000.0,,50000.0,6109700.0,0.130285,467000.0,-1941000.0,99000.0,2097000.0,2097000.0,,,359000.0,163000.0,-1231000.0,-355000.0,195000.0,1301000.0,269000.0,1631000.0,99000.0,0.0,7076000.0,1006000.0,0.0,456000.0,5078000.0,8941000.0,,,,3753000.0,59000.0,629000.0,629000.0,629000.0,580000.0,6109700.0,0.130285,796000.0,0.0,1096000.0,1725000.0,2097000.0,,1954000.0,1130000.0,1006000.0,-335000.0,-12000.0,0.0,94000.0,3895000.0,7420000.0,16000.0,,,,,-15000.0,3137000.0,9246000.0,-1929000.0,50000.0,6000.0,1006000.0,954000.0,888000.0,2170000.0,2170000.0,954000.0,0.0,6000.0,50000.0,1996000.0,,1006000.0,73000.0,796000.0,796000.0,796000.0,796000.0,796000.0,796000.0,796000.0,-23000.0,-34000.0,0.0,947000.0,954000.0,-34000.0,1000.0,3895000.0,-1906000.0,-7000.0,6982000.0,340000.0,400000.0,1928000.0,984991.812865,1606000.0,6324000.0,1096000.0,12498000.0,6109700.0,-1000.0,18000.0,48000.0,94000.0,202000.0,,-2000.0,106000.0,731000.0,555000.0,50000.0,,0.0,3301000.0,43000.0,168000.0,855000.0,888000.0,,-23000.0,0.0,-1918000.0,1050000.0,5078000.0,629000.0,948000.0,948000.0,0.0,0.0,187000.0,796000.0,0.0,0.0,12000.0,6109700.0,-203000.0,7076000.0,6982000.0,-14008.187135,59000.0,0.069006,399000.0,-139000.0,13387000.0,9246000.0,2170000.0,7076000.0,11402000.0,6311000.0,4445000.0,2558000.0,889000.0,34000.0,12498000.0,31000.0,-203000.0,-203000.0,,957000.0,5188000.0,
2021-12-31,12M,EUR,4539415.0,6443157.0,-7640378.0,0.0,54937.0,,60000.0,6109700.0,0.275331,2096819.0,-2851731.0,98800.0,1267041.0,1267041.0,1266772.0,269.0,991028.0,-829778.0,-2617407.0,-1203380.0,2000722.0,-3657297.0,-4486334.0,-829778.0,98800.0,0.0,8657417.0,0.0,-99999.0,0.0,7713865.0,15791890.0,1361629.0,1361629.0,4202.0,8379957.0,179354.0,952363.0,952363.0,952363.0,897426.0,6109700.0,0.275331,1682191.0,,1919876.0,2872239.0,1267041.0,,3780975.0,2859732.0,1005539.0,-4633788.0,-33000.0,-33036.0,73901.0,13455380.0,10457011.0,,58331.0,58331.0,186.0,186.0,-24242.0,5754657.0,14708082.0,-2828696.0,60000.0,5525.0,0.0,3008836.0,2681778.0,4689036.0,4689036.0,3008836.0,0.0,5525.0,63000.0,5592972.0,,-99999.0,4783624.0,1682191.0,1682191.0,1682191.0,1682191.0,1682191.0,1682191.0,1682191.0,-34502.0,-58145.0,-10001.0,3880974.0,3008836.0,-58145.0,,5815002.0,-2784193.0,872138.0,8583516.0,349692.0,400150.0,3118751.0,1904952.3449,-1782057.0,8290809.0,2166202.0,18170876.0,6109700.0,,104000.0,1042000.0,73901.0,237754.0,-1000.0,1000.0,120845.0,912891.0,5180630.0,435500.0,33000.0,0.0,5552679.0,114119.0,,1861545.0,2681778.0,,-34502.0,-10001.0,-2817229.0,1237854.0,7713865.0,952363.0,1033914.0,1033914.0,0.0,-99999.0,213512.0,1682191.0,0.0,0.0,33036.0,6109700.0,-246512.0,8657417.0,8583516.0,-23750.6551,179354.0,0.096347,1887333.0,-96482.0,22086468.0,13346453.0,6050665.0,8657417.0,16004674.0,13429051.0,6294578.0,5049094.0,2205000.0,70000.0,18170876.0,100373.0,-246512.0,-246512.0,10366.0,1657071.0,7411933.0,33000.0
2022-12-31,12M,EUR,6531626.0,7211321.0,-8864033.0,4000.0,126879.0,,,6109700.0,0.376514,1267041.0,-2274350.0,118800.0,542154.0,572173.0,541679.0,475.0,1285037.0,-724887.0,-3498735.0,-781645.0,1992211.0,-1219638.0,-2222770.0,-724887.0,118800.0,,10983288.0,25484.0,0.0,4880.0,10321426.0,20652312.0,977175.0,977175.0,4324.0,11674783.0,726636.0,1147112.0,1147112.0,1147112.0,1020233.0,6109700.0,0.376514,2300387.0,,3109520.0,4256632.0,542154.0,,-13449.0,4887531.0,957553.0,-741419.0,,29531.0,339260.0,15511383.0,13020823.0,,82497.0,82497.0,37.0,37.0,-69864.0,9253392.0,16995020.0,-2244369.0,,5530.0,25484.0,345521.0,2736593.0,5034557.0,5034557.0,345521.0,0.0,5530.0,,6934874.0,,25484.0,5469578.0,2300387.0,2300387.0,2300387.0,2300387.0,2300387.0,2300387.0,2300387.0,-392238.0,-82460.0,29981.0,-38933.0,345521.0,-82460.0,,6647350.0,-1882112.0,-384454.0,10644028.0,351974.0,400150.0,4561839.0,2532329.147486,1532931.0,9606133.0,3414690.0,23342249.0,6109700.0,,,,339260.0,350648.0,,,184767.0,967867.0,5835036.0,841586.0,30019.0,0.0,7949316.0,111725.0,,3027023.0,2736593.0,0.0,-392238.0,-30019.0,-1882112.0,1844860.0,10321426.0,1147112.0,1462032.0,1462032.0,0.0,0.0,282307.0,2300387.0,,60000.0,,6109700.0,-305207.0,10983288.0,10644028.0,-73264.852514,726636.0,0.24005,2769516.0,-388719.0,28044602.0,16017845.0,6011732.0,10983288.0,19927559.0,17061314.0,7392290.0,5386531.0,,82460.0,23342249.0,449823.0,-305207.0,-305207.0,,2521001.0,8977529.0,22900.0
2023-12-31,12M,EUR,6860821.0,8725751.0,-9991657.0,5497015.0,331824.0,331824.0,,6109700.0,0.520747,542154.0,-2658113.0,305485.0,2888766.0,7392734.0,2888282.0,484.0,-290303.0,2346613.0,-2262273.0,4090952.0,329195.0,-1543960.0,323611.0,2346613.0,305485.0,,19713397.0,5548499.0,,45400.0,14408124.0,30076242.0,1047677.0,1047677.0,1401.0,11848982.0,1114627.0,1145044.0,1476868.0,1476868.0,1145044.0,6109700.0,0.520747,3181610.0,,4456353.0,5933221.0,2888766.0,31605543.0,4573535.0,3540905.0,957553.0,2228478.0,,-151.0,1033326.0,17120129.0,16316933.0,,160116.0,160116.0,71113.0,71113.0,-88765.0,11515665.0,24750165.0,-7113513.0,,5730.0,5548499.0,0.0,,3989091.0,3989091.0,0.0,-1045466.0,5730.0,,8044362.0,32014828.0,5548499.0,2148002.0,3181610.0,3181610.0,3181610.0,3181610.0,3181610.0,3181610.0,3181610.0,-1025889.0,-89003.0,-4475057.0,-974964.0,-1045466.0,-89003.0,,7128472.0,-1612567.0,70502.0,18680071.0,341313.0,400150.0,6199580.0,3378864.122152,4886591.0,11665334.0,4651599.0,30725057.0,6109700.0,-1.0,,,1033326.0,14379.0,,2751137.0,173995.0,626221.0,6293774.0,533633.0,4503968.0,0.0,8145021.0,310020.0,,4296237.0,2736593.0,9272.0,-1025889.0,-4475057.0,-1632224.0,4173483.0,14408124.0,1476868.0,2049354.0,2049354.0,-1045466.0,,283003.0,3181610.0,,,19657.0,6109700.0,-328835.0,19713397.0,18680071.0,-69104.877848,1114627.0,0.259443,1907058.0,-1126057.0,38643920.0,23702488.0,5036768.0,19713397.0,26073458.0,18930523.0,8567678.0,7081541.0,,,30725057.0,657979.0,-266359.0,-266359.0,,3801277.0,18227260.0,45832.0
