asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AdditionalPaidInCapital,Amortization,AvailableForSaleSecurities,BasicAverageShares,BasicEPS,BeginningCashPosition,CapitalExpenditure,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CashDividendsPaid,CashEquivalents,CashFinancial,ChangeInAccruedExpense,ChangeInCashSupplementalAsReported,ChangeInInventory,ChangeInOtherCurrentAssets,ChangeInPayable,ChangeInReceivables,ChangeInWorkingCapital,ChangesInCash,CommonStock,CommonStockEquity,CommonStockIssuance,CommonStockPayments,ConstructionInProgress,CostOfRevenue,CurrentAssets,CurrentDebt,CurrentDebtAndCapitalLeaseObligation,CurrentDeferredTaxesAssets,CurrentLiabilities,DefinedPensionBenefit,Depreciation,DepreciationAndAmortization,DepreciationAndAmortizationInIncomeStatement,DepreciationIncomeStatement,DerivativeProductLiabilities,DilutedAverageShares,DilutedEPS,DilutedNIAvailtoComStockholders,DividendPaidCFO,EBIT,EBITDA,EndCashPosition,EnterpriseValue,EnterprisesValueEBITDARatio,EnterprisesValueRevenueRatio,FinancialAssets,FinancingCashFlow,FixedAssetsRevaluationReserve,FreeCashFlow,GainLossOnInvestmentSecurities,GeneralAndAdministrativeExpense,Goodwill,GoodwillAndOtherIntangibleAssets,GrossPPE,GrossProfit,ImpairmentOfCapitalAssets,InterestExpense,InterestExpenseNonOperating,InterestIncome,InterestIncomeNonOperating,InterestPaidCFO,Inventory,InvestedCapital,InvestingCashFlow,InvestmentinFinancialAssets,InvestmentsinAssociatesatCost,InvestmentsinJointVenturesatCost,InvestmentsinSubsidiariesatCost,IssuanceOfCapitalStock,IssuanceOfDebt,LandAndImprovements,LongTermDebt,LongTermDebtAndCapitalLeaseObligation,LongTermDebtIssuance,LongTermDebtPayments,LongTermEquityInvestment,MachineryFurnitureEquipment,MarketCap,MinorityInterest,MinorityInterests,NetBusinessPurchaseAndSale,NetCommonStockIssuance,NetIncome,NetIncomeCommonStockholders,NetIncomeContinuousOperations,NetIncomeFromContinuingAndDiscontinuedOperation,NetIncomeFromContinuingOperationNetMinorityInterest,NetIncomeFromContinuingOperations,NetIncomeIncludingNoncontrollingInterests,NetIntangiblesPurchaseAndSale,NetInterestIncome,NetInvestmentPurchaseAndSale,NetIssuancePaymentsOfDebt,NetLongTermDebtIssuance,NetNonOperatingInterestIncomeExpense,NetOtherFinancingCharges,NetOtherInvestingChanges,NetPPE,NetPPEPurchaseAndSale,NetShortTermDebtIssuance,NetTangibleAssets,NonCurrentDeferredTaxesLiabilities,NonCurrentPensionAndOtherPostretirementBenefitPlans,NormalizedEBITDA,NormalizedIncome,OperatingCashFlow,OperatingExpense,OperatingIncome,OperatingRevenue,OrdinarySharesNumber,OtherCashAdjustmentOutsideChangeinCash,OtherCurrentAssets,OtherCurrentLiabilities,OtherIntangibleAssets,OtherNonCashItems,OtherNonOperatingIncomeExpenses,OtherOperatingExpenses,OtherPayable,OtherProperties,OtherReceivables,OtherShortTermInvestments,OtherSpecialCharges,OtherunderPreferredStockDividend,Payables,PrepaidAssets,PretaxIncome,Properties,ProvisionandWriteOffofAssets,PurchaseOfIntangibles,PurchaseOfInvestment,PurchaseOfPPE,ReconciledCostOfRevenue,ReconciledDepreciation,RepaymentOfDebt,RepurchaseOfCapitalStock,RestructuringAndMergernAcquisition,RetainedEarnings,SaleOfIntangibles,SaleOfInvestment,SaleOfPPE,SellingAndMarketingExpense,SellingGeneralAndAdministration,ShareIssued,ShortTermDebtIssuance,ShortTermDebtPayments,SpecialIncomeCharges,StockholdersEquity,TangibleBookValue,TaxEffectOfUnusualItems,TaxProvision,TaxRateForCalcs,TaxesReceivable,TaxesRefundPaid,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalExpenses,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,TotalOperatingIncomeAsReported,TotalRevenue,TotalTaxPayable,TotalUnusualItems,TotalUnusualItemsExcludingGoodwill,TradeandOtherPayablesNonCurrent,TradingSecurities,WorkingCapital,WriteOff
2019-12-31,12M,EUR,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-31,12M,EUR,196868.0,387427.0,0.0,39777.0,,3646000.0,0.114996,145000.0,-1000.0,410000.0,383964.0,383964.0,,383910.0,54.0,0.0,225000.0,0.0,108000.0,74000.0,-203000.0,-21000.0,226000.0,410000.0,938049.0,,,0.0,454980.0,1233058.0,2156.0,2156.0,,593167.0,0.0,43000.0,43000.0,43302.0,3525.0,0.0,3646000.0,0.114996,419275.0,0.0,629539.0,672841.0,370000.0,,,,0.0,87000.0,0.0,442000.0,,189777.0,235465.0,237597.0,5994.0,3532189.0,0.0,3177.0,3177.0,0.0,0.0,-3000.0,0.0,940205.0,-304000.0,110006.0,22000.0,,0.0,,87000.0,0.0,0.0,0.0,0.0,,22000.0,376.0,,843.0,157.0,,0.0,419275.0,419275.0,419118.0,419275.0,419275.0,421000.0,419118.0,0.0,-3177.0,-31000.0,87000.0,0.0,-3177.0,,-272000.0,5994.0,-1000.0,87000.0,700452.0,0.0,24850.0,686850.0,428648.851003,443000.0,2888641.0,643548.0,3987169.0,3646000.0,-1000.0,101000.0,32000.0,2132.0,3000.0,22000.0,109615.0,296660.0,5618.0,461188.0,469000.0,47000.0,0.0,559011.0,479.0,626362.0,0.0,0.0,0.0,-31000.0,-1000.0,454980.0,43000.0,,,14009.0,399223.0,0.0,0.0,0.0,2409400.0,2599177.0,3646000.0,87000.0,,-14009.0,938049.0,700452.0,-4635.148997,207244.0,0.330869,0.0,0.0,1608655.0,938049.0,2156.0,938892.0,3343621.0,669763.0,375597.0,76596.0,630000.0,3987169.0,65483.0,-14009.0,-14009.0,51746.0,110006.0,639891.0,0.0
2021-12-31,12M,EUR,399761.0,548507.0,1052250.0,129407.0,,3646000.0,0.078023,383964.0,-464781.0,455750.0,957942.0,957942.0,-463026.0,957840.0,102.0,,573978.0,0.0,256633.0,170893.0,-213133.0,214393.0,573978.0,455750.0,1857500.0,1098000.0,0.0,0.0,581414.0,1766895.0,4179.0,4179.0,12925.0,704602.0,0.0,131909.0,131909.0,131909.0,2502.0,0.0,3646000.0,0.078023,284472.0,0.0,434805.0,566714.0,957942.0,11292381.0,19.926067,2.288459,0.0,640302.0,0.0,111117.0,,104868.0,196221.0,567170.0,9293.0,4353076.45,0.0,5770.0,5770.0,1.0,1.0,-5769.0,0.0,1861679.0,-642222.0,259178.0,22000.0,22000.0,0.0,1098000.0,2023.0,0.0,0.0,0.0,0.0,,22000.0,0.0,12031800.0,2007.0,2136.0,0.0,1098000.0,284472.0,284472.0,282336.0,284472.0,284472.0,282336.0,282336.0,-458980.0,-5769.0,0.0,2023.0,0.0,-5769.0,3305.0,-177441.0,9293.0,-5801.0,2023.0,1290330.0,0.0,36950.0,606859.0,310890.307877,575898.0,3878127.0,474949.45,4934490.45,3646000.0,,,,370949.0,5769.0,,147114.0,300019.0,9293.0,193384.0,,-4000.0,0.0,700423.0,12925.0,429035.0,0.0,19305.0,-458980.0,0.0,-5801.0,581414.0,131909.0,0.0,0.0,19305.0,283058.0,0.0,0.0,0.0,3290254.0,3395122.0,3646000.0,2023.0,0.0,-40145.0,1857500.0,1290330.0,-13726.692123,146699.0,0.341928,54137.0,-64840.0,2631510.0,1857500.0,4179.0,1859507.0,4459541.0,772003.0,864615.0,67401.0,,4934490.45,643.0,-40145.0,-40145.0,30451.0,259178.0,1062293.0,20840.0
2022-12-31,12M,EUR,1036115.0,1470678.0,1667637.0,133611.0,2400.0,3842840.0,0.15696,957942.0,-491094.0,480355.0,1481687.0,1481687.0,-266158.0,1476156.0,5531.0,,523745.0,0.0,-50621.0,636354.0,-817491.0,-231758.0,523745.0,480355.0,2834508.0,639992.0,0.0,,802500.0,3335759.0,6492.0,6492.0,6923.0,1527108.0,,136348.0,136348.0,136348.0,2737.0,,3842840.0,0.15696,603174.0,0.0,886623.0,1022971.0,1481687.0,11167884.0,10.917107,1.748225,,455217.0,0.0,53414.0,,174039.0,599073.0,920152.0,11057.0,5585628.0,0.0,2566.0,2566.0,0.0,0.0,-2566.0,0.0,2863000.0,-475980.0,241919.0,,0.0,,639992.0,22000.0,,22000.0,22000.0,22000.0,0.0,0.0,,12326060.0,59186.0,-109.0,0.0,639992.0,603174.0,603174.0,603283.0,603174.0,603174.0,603283.0,603283.0,-486593.0,-2566.0,19600.0,24313.0,22000.0,-2566.0,57070.0,-4486.0,11057.0,-4501.0,2313.0,1914356.0,,66753.0,1076796.0,639904.332405,544508.0,4645180.0,940448.0,6388128.0,3842840.0,,,,321079.0,2566.0,,195686.0,343119.0,11057.0,292222.0,,,0.0,1386709.0,,884057.0,,29166.0,-486593.0,0.0,-4501.0,802500.0,136348.0,0.0,0.0,29166.0,603174.0,0.0,19600.0,0.0,3859402.0,4033441.0,3842840.0,2313.0,0.0,-53825.0,2834508.0,1914356.0,-17094.667595,280774.0,0.317597,84249.0,6832.0,4519333.0,2856508.0,28492.0,2893694.0,5447680.0,1625639.0,1183574.0,98531.0,,6388128.0,7475.0,-53825.0,-53825.0,9778.0,239519.0,1808651.0,24659.0
2023-12-31,12M,EUR,551450.0,1056886.0,1667637.0,211288.0,6000.0,,,1481687.0,-234720.0,480355.0,713752.0,713752.0,-627954.0,709958.0,3794.0,,-767935.0,0.0,-94537.0,-484665.0,273025.0,-306177.0,-767935.0,480355.0,2247154.0,0.0,0.0,,991205.0,2314663.0,5177.0,5177.0,6674.0,1054008.0,,215771.0,215771.0,215771.0,4483.0,,,,-18586.0,0.0,84078.0,299849.0,713752.0,,,,,-572820.0,,-250625.0,-1992.0,334134.0,513200.0,887286.0,62872.0,4393414.32,0.0,5128.0,5128.0,4297.0,4297.0,-831.0,0.0,2271594.0,-179210.0,203635.0,,,,0.0,0.0,,19263.0,19263.0,0.0,-2737.0,,,,70836.0,-11650.0,0.0,0.0,-18586.0,-18586.0,-6936.0,-18586.0,-18586.0,-6936.0,-6936.0,-178422.0,-831.0,-3600.0,-4052.0,-2737.0,-831.0,59186.0,59110.0,62872.0,-56298.0,-1315.0,1359868.0,,94713.0,324519.0,163.2,-15905.0,4288963.0,104451.32,5384619.32,3842840.0,,,,374086.0,-14403.0,,351585.0,406824.0,62872.0,352244.0,,,0.0,961980.0,,78950.0,,41896.0,-178422.0,-3600.0,-56298.0,991205.0,215771.0,-2737.0,0.0,41896.0,-17605.0,0.0,0.0,0.0,2994671.0,3328805.0,3842840.0,,,-41896.0,2247154.0,1359868.0,-5920.8,85886.0,0.24,185107.0,70703.0,3485974.0,2266417.0,24440.0,2317990.0,5280168.0,1167984.0,1171311.0,113976.0,,5384619.32,3706.0,-24670.0,-24670.0,,197635.0,1260655.0,0.0
