symbol,asOfDate,periodType,currencyCode,BeginningCashPosition,CapitalExpenditure,ChangeInCashSupplementalAsReported,ChangeInWorkingCapital,ChangesInCash,DeferredTax,EndCashPosition,FinancingCashFlow,FreeCashFlow,InvestingCashFlow,NetBusinessPurchaseAndSale,NetCommonStockIssuance,NetIncome,NetIncomeFromContinuingOperations,NetIntangiblesPurchaseAndSale,NetPPEPurchaseAndSale,OperatingCashFlow,OtherNonCashItems,ProvisionandWriteOffofAssets,PurchaseOfBusiness,PurchaseOfIntangibles,PurchaseOfPPE
KK.MI,2021-12-31,12M,EUR,4913000.0,-608000.0,4852000.0,2124000.0,4852000.0,396000.0,9765000.0,0.0,4852000.0,-608000.0,0.0,0.0,1087000.0,1087000.0,-564000.0,-44000.0,5460000.0,749000.0,1103000.0,0.0,-564000.0,-44000.0
KK.MI,2022-12-31,12M,EUR,9765000.0,-838000.0,-4704000.0,-9967000.0,-4704000.0,1028000.0,5061000.0,0.0,-4704000.0,-838000.0,0.0,0.0,2665000.0,1822000.0,-338000.0,-500000.0,-3866000.0,1739000.0,1512000.0,0.0,-338000.0,-500000.0
KK.MI,2022-12-31,TTM,EUR,9765000.0,-838000.0,-4704000.0,-9967000.0,-4704000.0,1028000.0,5061000.0,0.0,-4704000.0,-838000.0,0.0,0.0,2665000.0,1822000.0,-338000.0,-500000.0,-3866000.0,1739000.0,1512000.0,0.0,-338000.0,-500000.0
