symbol,asOfDate,periodType,currencyCode,BasicAverageShares,BasicEPS,CostOfRevenue,DepreciationAndAmortizationInIncomeStatement,DepreciationIncomeStatement,DilutedAverageShares,DilutedEPS,DilutedNIAvailtoComStockholders,EBIT,EBITDA,GrossProfit,InterestExpense,InterestExpenseNonOperating,InterestIncome,InterestIncomeNonOperating,NetIncome,NetIncomeCommonStockholders,NetIncomeContinuousOperations,NetIncomeFromContinuingAndDiscontinuedOperation,NetIncomeFromContinuingOperationNetMinorityInterest,NetIncomeIncludingNoncontrollingInterests,NetInterestIncome,NetNonOperatingInterestIncomeExpense,NormalizedEBITDA,NormalizedIncome,OperatingExpense,OperatingIncome,OperatingRevenue,OtherOperatingExpenses,OtherunderPreferredStockDividend,PretaxIncome,ReconciledCostOfRevenue,ReconciledDepreciation,TaxEffectOfUnusualItems,TaxProvision,TaxRateForCalcs,TotalExpenses,TotalOperatingIncomeAsReported,TotalRevenue
MAPS.MI,2023-06-30,TTM,EUR,11638249.0,-0.126912,,,,11638249.0,-0.126912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAPS.MI,2023-12-31,TTM,EUR,12213849.0,0.075699,25393572.0,3515923.0,3515923.0,12213849.0,0.075699,924580.0,1560485.0,5076408.0,5873362.0,583949.0,583949.0,192501.0,192501.0,924580.0,924580.0,924579.0,924580.0,924580.0,924580.0,-391448.0,-391448.0,5076408.0,924580.0,4505379.0,1367983.0,31266934.0,989456.0,0.0,976536.0,25393572.0,3511675.0,0.0,51957.0,0.053205,29898951.0,1367984.0,31266934.0
