asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AccumulatedDepreciation,AdditionalPaidInCapital,AllowanceForDoubtfulAccountsReceivable,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CashEquivalents,CashFinancial,CommonStock,CommonStockEquity,CurrentAssets,CurrentDebt,CurrentDebtAndCapitalLeaseObligation,CurrentDeferredTaxesAssets,CurrentLiabilities,DerivativeProductLiabilities,FinancialAssets,FinishedGoods,Goodwill,GoodwillAndOtherIntangibleAssets,GrossAccountsReceivable,GrossPPE,HedgingAssetsCurrent,Inventory,InvestedCapital,InvestmentinFinancialAssets,InvestmentsInOtherVenturesUnderEquityMethod,LongTermDebt,LongTermDebtAndCapitalLeaseObligation,LongTermEquityInvestment,MachineryFurnitureEquipment,NetDebt,NetPPE,NetTangibleAssets,NonCurrentDeferredTaxesLiabilities,NonCurrentPensionAndOtherPostretirementBenefitPlans,OrdinarySharesNumber,OtherCurrentLiabilities,OtherIntangibleAssets,OtherPayable,OtherProperties,OtherReceivables,Payables,PrepaidAssets,Properties,RawMaterials,RetainedEarnings,ShareIssued,StockholdersEquity,TangibleBookValue,TaxesReceivable,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,TotalTaxPayable,TradeandOtherPayablesNonCurrent,TreasurySharesNumber,WorkInProcess,WorkingCapital
2022-12-31,3M,EUR,11029658.0,8095609.0,-2202732.0,4899510.0,-68000.0,499990.0,3330666.0,3330666.0,625.0,3330041.0,499990.0,10760172.0,25824184.0,7033105.0,7033105.0,50062.0,19160255.0,,,479032.0,0.0,1717602.0,8163608.0,5815930.0,3423.0,10815541.0,17793277.0,117298.0,,,,,2623738.0,3702439.0,3613198.0,9042570.0,,,15333000.0,605185.0,1717602.0,,1674736.0,793044.0,11521965.0,50110.0,1517456.0,9386034.0,1317152.0,15333000.0,10760172.0,9042570.0,2685729.0,31272282.0,10760172.0,7033105.0,10760172.0,20512110.0,5448098.0,1351855.0,492307.0,,,950475.0,6663929.0
2023-06-30,3M,EUR,17962491.0,7969511.0,-2568675.0,4899510.0,-68000.0,499990.0,1542729.0,1542729.0,1541912.0,817.0,499990.0,12430713.0,33962349.0,2485787.0,2485787.0,57600.0,23357105.0,3009.0,16779.0,398173.0,0.0,1933378.0,8037511.0,7512016.0,2966.0,18386308.0,19729997.0,,1700.0,4813497.0,4813497.0,1700.0,4048338.0,5756555.0,4943341.0,10497335.0,,773930.0,15333000.0,976598.0,1933378.0,176651.0,1946222.0,500579.0,19127821.0,261225.0,1517456.0,15137121.0,883771.0,15333000.0,12430713.0,10497335.0,5241431.0,41378254.0,17244210.0,7299284.0,12430713.0,28947541.0,7415905.0,5590436.0,988679.0,,,2851014.0,10605244.0
2023-12-31,3M,EUR,15717092.0,12096758.0,-6386404.0,9028042.0,,563076.0,5983869.0,5983869.0,5982519.0,1350.0,563076.0,18189209.0,43176277.0,8086482.0,8086482.0,103087.0,28074953.0,8280.0,,621200.0,2307150.0,4676238.0,,12523497.0,,18906513.0,31307949.0,,5180.0,5032258.0,5032258.0,5180.0,7365055.0,7134871.0,6136175.0,13512971.0,448.0,1854841.0,17435875.0,122171.0,2369088.0,1765032.0,3640986.0,862700.0,18352121.0,38668.0,1517456.0,15519993.0,2456430.0,17435875.0,18189209.0,13512971.0,5184682.0,54359989.0,23221467.0,13118740.0,18189209.0,36170780.0,11183712.0,8095827.0,869997.0,1200000.0,0.0,2765320.0,15101324.0
