symbol,asOfDate,periodType,currencyCode,Amortization,BasicAverageShares,BasicEPS,CostOfRevenue,DepreciationAndAmortizationInIncomeStatement,DepreciationIncomeStatement,DilutedAverageShares,DilutedEPS,DilutedNIAvailtoComStockholders,EBIT,EBITDA,GrossProfit,InterestExpense,InterestExpenseNonOperating,InterestIncome,InterestIncomeNonOperating,NetIncome,NetIncomeCommonStockholders,NetIncomeContinuousOperations,NetIncomeFromContinuingAndDiscontinuedOperation,NetIncomeFromContinuingOperationNetMinorityInterest,NetIncomeIncludingNoncontrollingInterests,NetInterestIncome,NetNonOperatingInterestIncomeExpense,NormalizedEBITDA,NormalizedIncome,OperatingExpense,OperatingIncome,OperatingRevenue,OtherOperatingExpenses,OtherunderPreferredStockDividend,PretaxIncome,ReconciledCostOfRevenue,ReconciledDepreciation,RentExpenseSupplemental,RestructuringAndMergernAcquisition,SpecialIncomeCharges,TaxEffectOfUnusualItems,TaxProvision,TaxRateForCalcs,TotalExpenses,TotalOperatingIncomeAsReported,TotalOtherFinanceCost,TotalRevenue,TotalUnusualItems,TotalUnusualItemsExcludingGoodwill,WriteOff
RDUE.MI,2023-06-30,TTM,EUR,,6250000.0,0.402969,,,,6250000.0,0.402969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RDUE.MI,2023-12-31,TTM,EUR,264996.0,6250000.0,0.543472,6803247.0,1763019.0,1498023.0,6250000.0,0.543472,3396701.0,4496363.0,6259383.0,9695368.0,22231.0,22231.0,252139.0,252139.0,3396701.0,3396701.0,3396701.0,3396701.0,3396701.0,3396701.0,421446.0,421446.0,6519449.0,3594139.618768,5384004.0,4311364.0,16498615.0,338618.0,0.0,4474132.0,6803247.0,1763020.0,64485.0,185893.0,-260066.0,-62627.381232,1077431.0,0.240813,12187251.0,4051000.0,-191538.0,16498615.0,-260066.0,-260066.0,74173.0
