symbol,asOfDate,periodType,currencyCode,AmortizationCashFlow,BeginningCashPosition,CapitalExpenditure,CapitalExpenditureReported,CashDividendsPaid,ChangeInCashSupplementalAsReported,ChangeInInventory,ChangeInOtherCurrentAssets,ChangeInOtherCurrentLiabilities,ChangeInPayable,ChangeInReceivables,ChangeInWorkingCapital,ChangesInCash,CommonStockDividendPaid,DeferredTax,Depreciation,DepreciationAndAmortization,EffectOfExchangeRateChanges,EndCashPosition,FinancingCashFlow,FreeCashFlow,GainLossOnInvestmentSecurities,GainLossOnSaleOfBusiness,GainLossOnSaleOfPPE,InterestPaidCFO,InvestingCashFlow,IssuanceOfDebt,LongTermDebtIssuance,LongTermDebtPayments,NetBusinessPurchaseAndSale,NetCommonStockIssuance,NetIncome,NetIncomeFromContinuingOperations,NetIntangiblesPurchaseAndSale,NetInvestmentPropertiesPurchaseAndSale,NetInvestmentPurchaseAndSale,NetIssuancePaymentsOfDebt,NetLongTermDebtIssuance,NetOtherFinancingCharges,NetPPEPurchaseAndSale,NetShortTermDebtIssuance,OperatingCashFlow,OtherCashAdjustmentOutsideChangeinCash,OtherNonCashItems,PensionAndEmployeeBenefitExpense,ProvisionandWriteOffofAssets,PurchaseOfBusiness,PurchaseOfIntangibles,PurchaseOfPPE,RepaymentOfDebt,SaleOfBusiness,SaleOfIntangibles,SaleOfInvestment,SaleOfInvestmentProperties,SaleOfPPE,TaxesRefundPaid
IGD.MI,2019-12-31,12M,EUR,,,,-40236000.0,-55152000.0,,,,,,,,,-55152000.0,,,,,,,,,0.0,,,,,,,,317000.0,,,,,,,,69000.0,,-177391000.0,,78000.0,,,,-59000.0,,,,,,,,12800000.0,
IGD.MI,2020-12-31,12M,EUR,,128677000.0,-14845000.0,,-25150000.0,-11336000.0,-2594000.0,-8658000.0,8357000.0,-4401000.0,-18003000.0,-25299000.0,-11239000.0,-25150000.0,-14229000.0,611000.0,611000.0,-97000.0,117341000.0,-50464000.0,39189000.0,72000.0,,,-29344000.0,-14809000.0,34682000.0,34682000.0,-52003000.0,0.0,-2000.0,-74321000.0,-74321000.0,-8000.0,0.0,0.0,-17321000.0,-17321000.0,,-14801000.0,,54034000.0,,179069000.0,1389000.0,,0.0,-8000.0,-14837000.0,-52003000.0,,0.0,0.0,0.0,36000.0,-788000.0
IGD.MI,2021-12-31,12M,EUR,34000.0,117341000.0,-18716000.0,,,40739000.0,-3051000.0,-1979000.0,-1608000.0,4422000.0,-526000.0,-2742000.0,40828000.0,,3002000.0,510000.0,544000.0,-89000.0,158080000.0,-133008000.0,59965000.0,-908000.0,,-908000.0,-27400000.0,95155000.0,0.0,0.0,-124083000.0,52000.0,0.0,52769000.0,52769000.0,-302000.0,113819000.0,52000.0,-124083000.0,-124083000.0,,-18414000.0,,78681000.0,,50688000.0,1454000.0,138000.0,,-302000.0,-18414000.0,-124083000.0,52000.0,0.0,52000.0,113819000.0,0.0,-991000.0
IGD.MI,2022-12-31,12M,EUR,151000.0,158080000.0,-32695000.0,,-38334000.0,-131011000.0,4664000.0,1611000.0,-5050000.0,7581000.0,-856000.0,7950000.0,-131037000.0,,-18000.0,573000.0,724000.0,26000.0,27069000.0,-181326000.0,50289000.0,-397000.0,,-397000.0,-27375000.0,-32695000.0,288946000.0,288946000.0,-423717000.0,0.0,,-22315000.0,-22315000.0,-644000.0,0.0,,-134771000.0,-134771000.0,,-32051000.0,,82984000.0,,104379000.0,1199000.0,960000.0,,-644000.0,-32051000.0,-423717000.0,0.0,0.0,,0.0,0.0,-1074000.0
IGD.MI,2023-12-31,12M,EUR,381000.0,27069000.0,-23182000.0,,-33103000.0,-21000000.0,4937000.0,-2509000.0,-1956000.0,17000.0,5272000.0,5761000.0,-20962000.0,,-31000.0,755000.0,1136000.0,-38000.0,6069000.0,-75160000.0,54198000.0,50000.0,,,-36282000.0,-23182000.0,256000000.0,256000000.0,-289243000.0,0.0,,-81732000.0,-81732000.0,-597000.0,0.0,,-33243000.0,-33243000.0,,-22585000.0,,77380000.0,,186679000.0,1492000.0,1235000.0,,-597000.0,-22585000.0,-289243000.0,0.0,,,0.0,,-1027000.0
IGD.MI,2024-03-31,TTM,EUR,,8506000.0,-22375000.0,,,-19495000.0,818000.0,-204000.0,-1642000.0,-418000.0,4722000.0,3276000.0,-19303000.0,,-522000.0,591000.0,972000.0,-192000.0,-10797000.0,-70223000.0,50920000.0,,,,-39569000.0,-22375000.0,,,-284083000.0,,,-92208000.0,-92208000.0,-511000.0,,,-28083000.0,-28083000.0,,-21864000.0,,73295000.0,,199438000.0,1585000.0,,,-511000.0,-21864000.0,-284083000.0,,,,,,-1062000.0
