symbol,asOfDate,periodType,currencyCode,AmortizationCashFlow,BeginningCashPosition,CapitalExpenditure,CapitalExpenditureReported,CashDividendsPaid,ChangeInCashSupplementalAsReported,ChangeInInventory,ChangeInOtherCurrentAssets,ChangeInPayable,ChangeInReceivables,ChangeInWorkingCapital,ChangesInCash,CommonStockDividendPaid,Depreciation,DepreciationAndAmortization,EffectOfExchangeRateChanges,EndCashPosition,FinancingCashFlow,FreeCashFlow,GainLossOnInvestmentSecurities,GainLossOnSaleOfBusiness,GainLossOnSaleOfPPE,InvestingCashFlow,NetBusinessPurchaseAndSale,NetCommonStockIssuance,NetIncome,NetIncomeFromContinuingOperations,NetInvestmentPurchaseAndSale,NetIssuancePaymentsOfDebt,NetLongTermDebtIssuance,NetPPEPurchaseAndSale,NetShortTermDebtIssuance,OperatingCashFlow,OtherNonCashItems,PurchaseOfPPE,SaleOfPPE
EM.MI,2019-12-31,12M,EUR,,,,-17732000.0,,,,,,,,,,,,,,,,-89000.0,0.0,,,,,,,,,-15712000.0,,-15712000.0,,,,
EM.MI,2020-12-31,12M,EUR,,41989000.0,-14143000.0,,-4000.0,55291000.0,-9694000.0,-80000.0,18053000.0,-9768000.0,-2312000.0,52775000.0,-4000.0,22692000.0,22692000.0,2516000.0,97280000.0,24594000.0,28807000.0,,,-54000.0,-14769000.0,-4596000.0,-53000.0,19300000.0,19612000.0,3916000.0,29951000.0,,-14089000.0,29951000.0,42950000.0,868000.0,-14143000.0,54000.0
EM.MI,2021-12-31,12M,EUR,5361000.0,97280000.0,-17046000.0,,-7413000.0,-20451000.0,-49016000.0,-224000.0,34335000.0,-17516000.0,-31787000.0,-22965000.0,-7413000.0,19031000.0,24392000.0,2514000.0,76829000.0,-32888000.0,12515000.0,,,-159000.0,-19638000.0,-2735000.0,-167000.0,32508000.0,33111000.0,-16000.0,-19562000.0,,-16887000.0,,29561000.0,4004000.0,-17046000.0,159000.0
EM.MI,2022-09-30,TTM,EUR,,,,,,,,,,,,,,,,,,,,,,,,,,31593000.0,,,,,,,,,,
EM.MI,2022-12-31,12M,EUR,5880000.0,76829000.0,-21350000.0,,-12425000.0,6520000.0,-12586000.0,-2317000.0,-43128000.0,10646000.0,-48736000.0,9457000.0,-12425000.0,20487000.0,26367000.0,-2937000.0,83349000.0,20521000.0,-7683000.0,,,-69000.0,-24731000.0,-3360000.0,-269000.0,30268000.0,31165000.0,-90000.0,39642000.0,,-21281000.0,,13667000.0,1983000.0,-21350000.0,69000.0
EM.MI,2023-12-31,12M,EUR,6631000.0,83349000.0,-22851000.0,,-10788000.0,-10440000.0,11978000.0,1561000.0,-4270000.0,314000.0,9650000.0,-7377000.0,-10788000.0,22449000.0,29080000.0,-3063000.0,72909000.0,-20602000.0,34269000.0,,,-183000.0,-43895000.0,-20304000.0,-262000.0,19075000.0,19922000.0,-923000.0,-1796000.0,,-22668000.0,,57120000.0,-1347000.0,-22851000.0,183000.0
EM.MI,2024-03-31,TTM,EUR,,,,,,,,,,,,,,,,,,,,,,,,,,15534000.0,,,,,,,,,,
