symbol,asOfDate,periodType,currencyCode,AmortizationCashFlow,BeginningCashPosition,CapitalExpenditure,CashDividendsPaid,ChangeInCashSupplementalAsReported,ChangeInInventory,ChangeInOtherCurrentAssets,ChangeInPayable,ChangeInReceivables,ChangeInWorkingCapital,ChangesInCash,CommonStockDividendPaid,DeferredTax,Depreciation,DepreciationAndAmortization,EndCashPosition,FinancingCashFlow,FreeCashFlow,InterestPaidCFF,InvestingCashFlow,IssuanceOfDebt,LongTermDebtIssuance,LongTermDebtPayments,NetForeignCurrencyExchangeGainLoss,NetIncome,NetIncomeFromContinuingOperations,NetIntangiblesPurchaseAndSale,NetIssuancePaymentsOfDebt,NetLongTermDebtIssuance,NetOtherFinancingCharges,NetPPEPurchaseAndSale,OperatingCashFlow,OtherCashAdjustmentOutsideChangeinCash,OtherNonCashItems,ProvisionandWriteOffofAssets,PurchaseOfIntangibles,PurchaseOfInvestment,PurchaseOfPPE,RepaymentOfDebt
NPI.MI,2019-12-31,TTM,EUR,,,,-1800120.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.0,,,-9627277.0,0.0,-1273804.0,
NPI.MI,2023-12-31,TTM,EUR,9323551.0,13131522.0,-27816541.0,-2516416.0,1213229.0,4208211.0,-1481740.0,5406445.0,4369758.0,12502674.0,1213229.0,-2516416.0,-1523628.0,1710933.0,11034484.0,14344751.0,4027681.0,-2814452.0,-824882.0,-27816541.0,17900000.0,17900000.0,-10531020.0,-54718.0,2054932.0,2054932.0,-25497835.0,7368980.0,7368980.0,-1.0,-2318706.0,25002089.0,1.0,879600.0,108744.0,,,,-10531020.0
