symbol,asOfDate,periodType,currencyCode,AmortizationCashFlow,BeginningCashPosition,CapitalExpenditure,CashDividendsPaid,ChangeInAccruedExpense,ChangeInCashSupplementalAsReported,ChangeInInventory,ChangeInOtherCurrentAssets,ChangeInPayable,ChangeInReceivables,ChangeInWorkingCapital,ChangesInCash,CommonStockIssuance,CommonStockPayments,DeferredTax,Depreciation,DepreciationAndAmortization,DividendReceivedCFO,EndCashPosition,FinancingCashFlow,FreeCashFlow,InterestPaidCFO,InvestingCashFlow,IssuanceOfCapitalStock,LongTermDebtPayments,NetCommonStockIssuance,NetIncome,NetIncomeFromContinuingOperations,NetIntangiblesPurchaseAndSale,NetInvestmentPurchaseAndSale,NetIssuancePaymentsOfDebt,NetLongTermDebtIssuance,NetOtherFinancingCharges,NetPPEPurchaseAndSale,NetShortTermDebtIssuance,OperatingCashFlow,OtherNonCashItems,ProvisionandWriteOffofAssets,PurchaseOfIntangibles,PurchaseOfInvestment,PurchaseOfPPE,RepaymentOfDebt,RepurchaseOfCapitalStock,SaleOfIntangibles,SaleOfInvestment,SaleOfPPE,TaxesRefundPaid
COSMO.MI,2019-12-31,12M,EUR,,,,,,,,,,,,,,,,,,,,,,,,,,,134000.0,,,,,,,,,,,,,,,,,,,,
COSMO.MI,2020-12-31,12M,EUR,,942000.0,-510000.0,-200000.0,103000.0,1116000.0,-449000.0,-160000.0,3274000.0,-1944000.0,824000.0,1116000.0,0.0,0.0,150000.0,279000.0,279000.0,,2058000.0,-101000.0,1227000.0,-1000.0,-520000.0,0.0,,0.0,373000.0,373000.0,-480000.0,-10000.0,99000.0,,,-30000.0,99000.0,1737000.0,1000.0,56000.0,-480000.0,-10000.0,-30000.0,,0.0,0.0,0.0,0.0,58000.0
COSMO.MI,2022-12-31,12M,EUR,,,,,,,,,,,,,,,,,,,,,,,,,,,-1336981.0,,,,,,,,,,,,,,,,,,,,
COSMO.MI,2023-12-31,12M,EUR,2718358.0,6850720.0,-1910470.0,,-111572.0,-1785500.0,-2600906.0,763984.0,-2588805.0,346636.0,-4190663.0,-1785500.0,0.0,,-245375.0,106911.0,2825269.0,0.0,5065220.0,4740055.0,-7091501.0,-934804.0,-1344524.0,0.0,-326277.0,0.0,-3231568.0,-3933571.0,-1738088.0,503227.0,4168626.0,-326277.0,571429.0,-109663.0,4494903.0,-5181031.0,934804.0,207901.0,-1799697.0,0.0,-110773.0,-326277.0,,61609.0,503227.0,1110.0,245375.0
COSMO.MI,2023-12-31,TTM,EUR,2718358.0,6850720.0,-1910470.0,,-111572.0,-1785500.0,-2600906.0,763984.0,-2588805.0,346636.0,-4190663.0,-1785500.0,0.0,,-245375.0,106911.0,2825269.0,0.0,5065220.0,4740055.0,-7091501.0,-934804.0,-1344524.0,0.0,-326277.0,0.0,-3231568.0,-3933571.0,-1738088.0,503227.0,4168626.0,-326277.0,571429.0,-109663.0,4494903.0,-5181031.0,934804.0,207901.0,-1799697.0,0.0,-110773.0,-326277.0,,61609.0,503227.0,1110.0,245375.0
