symbol,asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AdditionalPaidInCapital,AllowanceForDoubtfulAccountsReceivable,AssetsHeldForSaleCurrent,AvailableForSaleSecurities,CapitalLeaseObligations,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CommonStock,CommonStockEquity,ConstructionInProgress,CurrentAssets,CurrentCapitalLeaseObligation,CurrentDebt,CurrentDebtAndCapitalLeaseObligation,CurrentLiabilities,CurrentProvisions,FinishedGoods,Goodwill,GoodwillAndOtherIntangibleAssets,GrossAccountsReceivable,GrossPPE,HedgingAssetsCurrent,Inventory,InvestedCapital,InvestmentinFinancialAssets,LongTermCapitalLeaseObligation,LongTermDebt,LongTermDebtAndCapitalLeaseObligation,LongTermEquityInvestment,LongTermProvisions,MachineryFurnitureEquipment,MinorityInterest,NetDebt,NetPPE,NetTangibleAssets,NonCurrentDeferredRevenue,NonCurrentDeferredTaxesAssets,NonCurrentDeferredTaxesLiabilities,NonCurrentPensionAndOtherPostretirementBenefitPlans,NonCurrentPrepaidAssets,OrdinarySharesNumber,OtherCurrentAssets,OtherCurrentLiabilities,OtherEquityInterest,OtherIntangibleAssets,OtherNonCurrentAssets,OtherNonCurrentLiabilities,OtherPayable,OtherProperties,OtherReceivables,OtherShortTermInvestments,Payables,PensionandOtherPostRetirementBenefitPlansCurrent,PrepaidAssets,Properties,RawMaterials,RestrictedCash,RetainedEarnings,ShareIssued,StockholdersEquity,TangibleBookValue,TaxesReceivable,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,TotalTaxPayable,TradeandOtherPayablesNonCurrent,TreasurySharesNumber,WorkInProcess,WorkingCapital
SERI.MI,2019-12-31,12M,EUR,,,,,0.0,105000.0,,,,,,,,,,,,,,,,,,,,,,105000.0,,,,,,,,,,,,,,,832000.0,,20926000.0,922000.0,1000.0,,,,,,,,,,,,,500000.0,,,,,,,,,,,,,,,,,
SERI.MI,2020-12-31,12M,EUR,37801000.0,39389000.0,2313000.0,-4128000.0,,,19004000.0,93091000.0,7830000.0,8470000.0,93091000.0,113595000.0,1904000.0,138749000.0,4542000.0,40733000.0,45275000.0,107108000.0,,28684000.0,54338000.0,63659000.0,43517000.0,101219000.0,,58824000.0,200331000.0,,14462000.0,46003000.0,60465000.0,392000.0,,73747000.0,367000.0,78906000.0,101219000.0,49936000.0,,17301000.0,616000.0,5107000.0,1205000.0,47296354.0,,1374000.0,,9321000.0,1205000.0,23741000.0,15910000.0,24454000.0,6203000.0,640000.0,56478000.0,,608000.0,1114000.0,19545000.0,,-4079000.0,47296354.0,113595000.0,49936000.0,25255000.0,311316000.0,159598000.0,105740000.0,113962000.0,197354000.0,183776000.0,90246000.0,2767000.0,,,10595000.0,31641000.0
SERI.MI,2021-12-31,12M,EUR,47930000.0,37015000.0,5305000.0,-4287000.0,,,22970000.0,95066000.0,19500000.0,20287000.0,95066000.0,120520000.0,532000.0,153734000.0,5188000.0,75801000.0,80989000.0,153733000.0,1154000.0,28684000.0,55042000.0,67312000.0,41302000.0,102151000.0,0.0,58824000.0,217238000.0,,17782000.0,20917000.0,38699000.0,554000.0,107000.0,72465000.0,414000.0,77218000.0,102151000.0,53208000.0,16457000.0,21091000.0,836000.0,4676000.0,1151000.0,48283501.0,,4920000.0,,12270000.0,1208000.0,7810000.0,4732000.0,27112000.0,8214000.0,787000.0,59092000.0,3147000.0,4782000.0,2042000.0,19545000.0,,-1534000.0,48283501.0,120520000.0,53208000.0,24612000.0,346050000.0,141437000.0,119688000.0,120934000.0,225116000.0,192316000.0,71383000.0,6430000.0,2798000.0,,10595000.0,1000.0
SERI.MI,2022-12-31,12M,EUR,46520000.0,32270000.0,8710000.0,-4344000.0,0.0,,25271000.0,97313000.0,24817000.0,25544000.0,97313000.0,143493000.0,3126000.0,166893000.0,5156000.0,56175000.0,61331000.0,128155000.0,689000.0,37838000.0,55042000.0,73140000.0,36614000.0,100589000.0,1129000.0,73635000.0,247823000.0,,20115000.0,48155000.0,68270000.0,538000.0,134000.0,65422000.0,29000.0,79513000.0,100589000.0,70353000.0,14398000.0,26519000.0,14964000.0,4235000.0,1151000.0,49407254.0,,767000.0,,18098000.0,1207000.0,7021000.0,6112000.0,31138000.0,9929000.0,727000.0,55951000.0,2703000.0,2118000.0,903000.0,24205000.0,,-4385000.0,49407254.0,143493000.0,70353000.0,22268000.0,368886000.0,191648000.0,129601000.0,143522000.0,225364000.0,201993000.0,97209000.0,3319000.0,2585000.0,,11592000.0,38738000.0
SERI.MI,2023-12-31,12M,EUR,40338000.0,35316000.0,22562000.0,-3920000.0,6535000.0,,33024000.0,106457000.0,64452000.0,65155000.0,106457000.0,130462000.0,1304000.0,225101000.0,5629000.0,61091000.0,66720000.0,136503000.0,1012000.0,34200000.0,54338000.0,84065000.0,39236000.0,98194000.0,38000.0,72294000.0,227935000.0,,27395000.0,36382000.0,63777000.0,666000.0,148000.0,59247000.0,125000.0,33021000.0,98194000.0,46397000.0,,33207000.0,8536000.0,4183000.0,,53979002.0,,,,29727000.0,1719000.0,17908000.0,11789000.0,37533000.0,32629000.0,703000.0,55055000.0,2890000.0,2063000.0,110000.0,27621000.0,,-11971000.0,53979002.0,130462000.0,46397000.0,11071000.0,442955000.0,166844000.0,130497000.0,130587000.0,312368000.0,217851000.0,175865000.0,2928000.0,81313000.0,0.0,10473000.0,88598000.0
