asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AccumulatedDepreciation,AdditionalPaidInCapital,Amortization,BasicAverageShares,BasicEPS,BeginningCashPosition,CapitalExpenditure,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CashEquivalents,CashFinancial,ChangeInAccruedExpense,ChangeInCashSupplementalAsReported,ChangeInInventory,ChangeInOtherCurrentAssets,ChangeInPayable,ChangeInReceivables,ChangeInWorkingCapital,ChangesInCash,CommonStock,CommonStockEquity,CommonStockIssuance,CostOfRevenue,CurrentAssets,CurrentDebt,CurrentDebtAndCapitalLeaseObligation,CurrentLiabilities,CurrentProvisions,DeferredTax,Depreciation,DepreciationAndAmortization,DepreciationAndAmortizationInIncomeStatement,DepreciationIncomeStatement,DilutedAverageShares,DilutedEPS,DilutedNIAvailtoComStockholders,DividendReceivedCFO,EBIT,EBITDA,EndCashPosition,EnterpriseValue,FinancingCashFlow,FinishedGoods,FreeCashFlow,GainLossOnInvestmentSecurities,GoodwillAndOtherIntangibleAssets,GrossPPE,GrossProfit,ImpairmentOfCapitalAssets,InterestExpense,InterestExpenseNonOperating,InterestIncome,InterestIncomeNonOperating,InterestPaidCFO,InterestReceivedCFO,Inventory,InvestedCapital,InvestingCashFlow,InvestmentsInOtherVenturesUnderEquityMethod,InvestmentsinAssociatesatCost,InvestmentsinSubsidiariesatCost,IssuanceOfCapitalStock,IssuanceOfDebt,LandAndImprovements,LongTermDebt,LongTermDebtAndCapitalLeaseObligation,LongTermDebtIssuance,LongTermDebtPayments,LongTermEquityInvestment,LongTermProvisions,MachineryFurnitureEquipment,MarketCap,NetCommonStockIssuance,NetDebt,NetIncome,NetIncomeCommonStockholders,NetIncomeContinuousOperations,NetIncomeFromContinuingAndDiscontinuedOperation,NetIncomeFromContinuingOperationNetMinorityInterest,NetIncomeFromContinuingOperations,NetIncomeIncludingNoncontrollingInterests,NetIntangiblesPurchaseAndSale,NetInterestIncome,NetInvestmentPurchaseAndSale,NetIssuancePaymentsOfDebt,NetLongTermDebtIssuance,NetNonOperatingInterestIncomeExpense,NetPPE,NetPPEPurchaseAndSale,NetShortTermDebtIssuance,NetTangibleAssets,NonCurrentPensionAndOtherPostretirementBenefitPlans,NormalizedEBITDA,NormalizedIncome,OperatingCashFlow,OperatingExpense,OperatingIncome,OperatingRevenue,OrdinarySharesNumber,OtherCashAdjustmentOutsideChangeinCash,OtherCurrentAssets,OtherIntangibleAssets,OtherNonCashItems,OtherNonCurrentLiabilities,OtherOperatingExpenses,OtherPayable,OtherProperties,OtherReceivables,OtherShortTermInvestments,OtherSpecialCharges,OtherunderPreferredStockDividend,Payables,PrepaidAssets,PretaxIncome,Properties,ProvisionandWriteOffofAssets,PurchaseOfIntangibles,PurchaseOfInvestment,PurchaseOfPPE,RawMaterials,ReconciledCostOfRevenue,ReconciledDepreciation,RepaymentOfDebt,RestructuringAndMergernAcquisition,RetainedEarnings,ShareIssued,SpecialIncomeCharges,StockholdersEquity,TangibleBookValue,TaxEffectOfUnusualItems,TaxProvision,TaxRateForCalcs,TaxesReceivable,TaxesRefundPaid,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalExpenses,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,TotalOperatingIncomeAsReported,TotalOtherFinanceCost,TotalRevenue,TotalTaxPayable,TotalUnusualItems,TotalUnusualItemsExcludingGoodwill,WorkingCapital,WriteOff
2019-12-31,12M,EUR,,,,,,7999750.0,0.007879,,,,,,,,,,,,,,,,,,,,,,,,392315.0,,,,,,7999750.0,0.007879,,,,,,15141602.0,,,,,,,,,,,,,-209627.0,,,,,,,,,,,,,,,,,,12719602.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,606658.0,,,,,,,,,,,,,,64202.0,,,,,,,,,,,,,,,,,,,,-3573.0,,,,,,
2019-12-31,12M,ITL,3377234.0,3455309.0,-6458164.0,3999550.0,552593.0,,,1679155.0,-1955767.0,6000000.0,4704697.0,4715074.0,4700623.0,4074.0,11798.0,3025542.0,620707.0,-208716.0,149264.0,-209933.0,363120.0,3025543.0,6000000.0,10723786.0,4499550.0,12383630.0,10498434.0,1741182.0,1741182.0,6513062.0,,13194.0,976251.0,976251.0,976250.0,423657.0,,,63027.0,,289421.0,1265672.0,4704697.0,,3724485.0,707923.0,-678860.0,,7740372.0,8366502.0,3368040.0,0.0,213200.0,213200.0,3573.0,3573.0,,-209627.0,1735844.0,14280672.0,-1975849.0,766.0,20300.0,,4499550.0,,1964648.0,1815704.0,1815704.0,,-416444.0,21066.0,392315.0,4645539.0,,4499550.0,,63027.0,63027.0,63027.0,63027.0,63027.0,63027.0,63027.0,-1747779.0,-209627.0,-20082.0,-775065.0,-416444.0,-209627.0,1908338.0,-207988.0,-358621.0,2983414.0,744834.0,1347042.0,130311.698311,1276907.0,2943781.0,424259.0,15751670.0,7999750.0,-1.0,1.0,7740372.0,209627.0,,335891.0,1298469.0,1756315.0,48800.0,10377.0,,0.0,4731792.0,162056.0,76221.0,0.0,64203.0,-1747779.0,-20082.0,-207988.0,1027921.0,12383630.0,976251.0,-416444.0,,63027.0,7999750.0,-81370.0,10723786.0,2983414.0,-14085.301689,13194.0,0.173102,381351.0,-189586.0,20189702.0,12539490.0,3556886.0,10723786.0,15327411.0,9465916.0,9691268.0,2952854.0,342889.0,,15751670.0,56089.0,-81370.0,-81370.0,3985372.0,17168.0
2020-12-31,12M,EUR,2473538.0,1412369.0,-6834557.0,3999550.0,558131.0,6000000.0,-0.051786,4704697.0,-1308227.0,6000000.0,4146143.0,4156520.0,4142489.0,3654.0,216017.0,-558554.0,-578680.0,-790265.0,-903696.0,2006583.0,-50041.0,-558554.0,6000000.0,10413070.0,,14291005.0,9326208.0,1531310.0,1531310.0,5490319.0,392315.0,-167265.0,945017.0,945017.0,945016.0,386885.0,6000000.0,-0.051786,-310718.0,,-226842.0,718175.0,4146143.0,9235214.0,1664314.0,887743.0,-821915.0,,8322580.0,8523896.0,2664116.0,,251141.0,251141.0,,,-251075.0,,2314524.0,15634269.0,-2709180.0,1401718.0,20300.0,0.0,,1761866.0,1964648.0,3689889.0,3689889.0,1761866.0,,1422018.0,392315.0,4765355.0,7800000.0,,1075056.0,-310718.0,-310718.0,-310718.0,-310718.0,-310718.0,-310718.0,-310718.0,-1140340.0,-251073.0,-1400953.0,1664314.0,1761866.0,-251073.0,1689339.0,-167887.0,-97552.0,2090490.0,832402.0,813591.0,-248691.800976,486312.0,2876845.0,-212729.0,16955121.0,6000000.0,,,8322580.0,251075.0,-1.0,113229.0,1163355.0,1793893.0,777452.0,10377.0,,0.0,3702904.0,331146.0,-477983.0,0.0,95416.0,-1140340.0,-1400953.0,-167887.0,1426781.0,14291005.0,945017.0,,95416.0,-310718.0,6000000.0,-95416.0,10413070.0,2090490.0,-33389.800976,-167265.0,0.349939,334197.0,,20817994.0,14102959.0,5221199.0,10413070.0,17167850.0,10404924.0,11491786.0,4914605.0,-308145.0,-68.0,16955121.0,66011.0,-95416.0,-95416.0,3835889.0,0.0
2021-12-31,12M,EUR,3476867.0,2902793.0,-7213687.0,3999550.0,483123.0,6000000.0,0.02346,4146143.0,-1108382.0,6000000.0,7631047.0,7641424.0,7627758.0,3289.0,-73272.0,3484904.0,-134056.0,-629683.0,1003329.0,-1473107.0,-1306789.0,3484904.0,6000000.0,10422620.0,,18998368.0,15086151.0,4490856.0,4490856.0,9501271.0,392315.0,81256.0,839626.0,839626.0,892128.0,409005.0,6000000.0,0.02346,140758.0,130.0,599711.0,1491839.0,7631047.0,8210729.0,5446425.0,1021524.0,-1620521.0,-130.0,8643763.0,8850599.0,3879846.0,,330458.0,330458.0,,,-272112.0,,2448580.0,21090245.0,-1449382.0,1401718.0,20300.0,341000.0,,4986878.0,1964648.0,6176769.0,6176769.0,4986878.0,,1763018.0,392315.0,5023123.0,7500000.0,,3036578.0,140758.0,140758.0,140758.0,140758.0,140758.0,9550.0,140758.0,-773278.0,-330349.0,-341000.0,5446425.0,4986878.0,-330349.0,1636912.0,-335104.0,459547.0,1778857.0,677401.0,1645703.0,257694.64,-512139.0,3037229.0,842617.0,22878214.0,6000000.0,,,8643763.0,272112.0,-1.0,245652.0,1191122.0,1862828.0,1569766.0,10377.0,,0.0,4751765.0,286869.0,269253.0,0.0,107351.0,-773278.0,-341000.0,-335104.0,1427056.0,18998368.0,839626.0,,153864.0,-301168.0,6000000.0,-153864.0,10422620.0,1778857.0,-36927.36,128495.0,0.24,236719.0,,27170375.0,16599389.0,10667625.0,10422620.0,22035597.0,16747755.0,12084224.0,7246484.0,390581.0,-109.0,22878214.0,83776.0,-153864.0,-153864.0,5584880.0,
2022-12-31,12M,EUR,8961442.0,4435906.0,-7506888.0,3999550.0,681125.0,6000000.0,0.001133,7631047.0,-1354545.0,6000000.0,6137718.0,6148095.0,6134485.0,3233.0,-59953.0,-1493329.0,-2392246.0,-1889029.0,6305231.0,-2022650.0,-58647.0,-1493329.0,6000000.0,10451765.0,,29266503.0,19412689.0,5573835.0,5573835.0,16664567.0,392315.0,-87731.0,959690.0,959690.0,1088485.0,407360.0,6000000.0,0.001133,6797.0,500.0,535393.0,1623878.0,6137718.0,11037371.0,-598432.0,1355729.0,-494897.0,-500.0,9079558.0,9102862.0,4994994.0,,592389.0,592389.0,,,-430366.0,,4840826.0,20520958.0,-1754545.0,1401718.0,20300.0,741000.0,,,1983075.0,4495358.0,4495358.0,,-1681411.0,2163018.0,392315.0,5110837.0,6420000.0,,3931475.0,6797.0,6797.0,6797.0,6797.0,6797.0,29145.0,6797.0,-1046003.0,-592153.0,-400000.0,-598432.0,-1681411.0,-592153.0,1595974.0,-308542.0,1082979.0,1372207.0,777301.0,1856666.0,183715.88,859648.0,4250379.0,744615.0,34261497.0,6000000.0,,,9079558.0,430365.0,1.0,334068.0,1764496.0,2008950.0,3538799.0,10377.0,,0.0,10818650.0,402441.0,-56996.0,0.0,141775.0,-1046003.0,-400000.0,-308542.0,3485097.0,29266503.0,959690.0,-1681411.0,232788.0,-272501.0,6000000.0,-232788.0,10451765.0,1372207.0,-55869.12,-63793.0,0.24,46622.0,-53045.0,32781307.0,14947123.0,10069193.0,10451765.0,33516882.0,22329542.0,13368618.0,5664975.0,,-236.0,34261497.0,92712.0,-232788.0,-232788.0,2748122.0,
