asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AccumulatedDepreciation,AdditionalPaidInCapital,AllowanceForDoubtfulAccountsReceivable,Amortization,AmortizationCashFlow,AssetsHeldForSaleCurrent,AvailableForSaleSecurities,BasicAverageShares,BasicEPS,BeginningCashPosition,BuildingsAndImprovements,CapitalExpenditure,CapitalLeaseObligations,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CashDividendsPaid,CashEquivalents,CashFinancial,ChangeInAccruedExpense,ChangeInCashSupplementalAsReported,ChangeInInventory,ChangeInOtherCurrentAssets,ChangeInOtherCurrentLiabilities,ChangeInPayable,ChangeInReceivables,ChangeInWorkingCapital,ChangesInCash,CommonStock,CommonStockDividendPaid,CommonStockEquity,ConstructionInProgress,CostOfRevenue,CurrentAssets,CurrentDebt,CurrentDebtAndCapitalLeaseObligation,CurrentLiabilities,DeferredTax,Depreciation,DepreciationAndAmortization,DepreciationAndAmortizationInIncomeStatement,DepreciationIncomeStatement,DerivativeProductLiabilities,DilutedAverageShares,DilutedEPS,DilutedNIAvailtoComStockholders,DividendsPayable,EBIT,EBITDA,EffectOfExchangeRateChanges,EndCashPosition,EnterpriseValue,FinancialAssets,FinancingCashFlow,FinishedGoods,FreeCashFlow,Goodwill,GoodwillAndOtherIntangibleAssets,GrossAccountsReceivable,GrossPPE,GrossProfit,HedgingAssetsCurrent,HeldToMaturitySecurities,ImpairmentOfCapitalAssets,InterestExpense,InterestExpenseNonOperating,InterestIncome,InterestIncomeNonOperating,InterestPaidCFF,Inventory,InvestedCapital,InvestingCashFlow,InvestmentinFinancialAssets,InvestmentsInOtherVenturesUnderEquityMethod,InvestmentsinAssociatesatCost,InvestmentsinJointVenturesatCost,InvestmentsinSubsidiariesatCost,IssuanceOfDebt,LandAndImprovements,LiabilitiesHeldforSaleNonCurrent,LongTermCapitalLeaseObligation,LongTermDebt,LongTermDebtAndCapitalLeaseObligation,LongTermDebtIssuance,LongTermDebtPayments,LongTermEquityInvestment,LongTermProvisions,MachineryFurnitureEquipment,MarketCap,MinorityInterest,MinorityInterests,NetBusinessPurchaseAndSale,NetDebt,NetIncome,NetIncomeCommonStockholders,NetIncomeContinuousOperations,NetIncomeDiscontinuousOperations,NetIncomeFromContinuingAndDiscontinuedOperation,NetIncomeFromContinuingOperationNetMinorityInterest,NetIncomeFromContinuingOperations,NetIncomeIncludingNoncontrollingInterests,NetIntangiblesPurchaseAndSale,NetInterestIncome,NetInvestmentPurchaseAndSale,NetIssuancePaymentsOfDebt,NetLongTermDebtIssuance,NetNonOperatingInterestIncomeExpense,NetOtherFinancingCharges,NetOtherInvestingChanges,NetPPE,NetPPEPurchaseAndSale,NetTangibleAssets,NonCurrentDeferredTaxesAssets,NonCurrentDeferredTaxesLiabilities,NonCurrentPensionAndOtherPostretirementBenefitPlans,NonCurrentPrepaidAssets,NormalizedEBITDA,NormalizedIncome,OperatingCashFlow,OperatingExpense,OperatingIncome,OperatingRevenue,OrdinarySharesNumber,OtherCurrentAssets,OtherCurrentLiabilities,OtherEquityInterest,OtherIntangibleAssets,OtherNonCashItems,OtherNonCurrentAssets,OtherNonCurrentLiabilities,OtherNonOperatingIncomeExpenses,OtherOperatingExpenses,OtherPayable,OtherProperties,OtherReceivables,OtherShortTermInvestments,OtherSpecialCharges,OtherunderPreferredStockDividend,Payables,PensionAndEmployeeBenefitExpense,PensionandOtherPostRetirementBenefitPlansCurrent,PrepaidAssets,PretaxIncome,Properties,ProvisionandWriteOffofAssets,PurchaseOfIntangibles,PurchaseOfPPE,RawMaterials,ReconciledCostOfRevenue,ReconciledDepreciation,RepaymentOfDebt,RestrictedCash,RetainedEarnings,SaleOfPPE,ShareIssued,SpecialIncomeCharges,StockholdersEquity,TangibleBookValue,TaxEffectOfUnusualItems,TaxProvision,TaxRateForCalcs,TaxesReceivable,TaxesRefundPaid,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalExpenses,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,TotalOperatingIncomeAsReported,TotalOtherFinanceCost,TotalRevenue,TotalTaxPayable,TotalUnusualItems,TotalUnusualItemsExcludingGoodwill,TradeandOtherPayablesNonCurrent,WorkInProcess,WorkingCapital,WriteOff
2019-12-31,12M,EUR,,,,,,,,0.0,,,,,,,,,,,,,,3302000.0,,,,,,,,,,,,,,,,,,,,,,,2161000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3148000.0,-2253000.0,,,,,,,,,,,,,,,2000.0,2624000.0,,,,,1000.0,,,,,,,,,,,,,,,,,,,,,,4147000.0,,2779000.0,,,,,,,,,,,,,,,,,,,,,,,,2021000.0,,,
2020-12-31,12M,EUR,122222000.0,297949000.0,-1131792000.0,63335000.0,-21540000.0,5122000.0,5122000.0,,61000.0,90710387.0,1.136,167981000.0,180379000.0,-138000000.0,36488000.0,47164000.0,269181000.0,275481000.0,-22350000.0,268710000.0,471000.0,3531000.0,98983000.0,-13825000.0,-11606000.0,71000.0,16220000.0,-17804000.0,-26944000.0,105979000.0,47164000.0,-22350000.0,635674000.0,32442000.0,515307000.0,663365000.0,2216000.0,2216000.0,281004000.0,33769000.0,105865000.0,110987000.0,110987000.0,105865000.0,3509000.0,90710387.0,1.136,103047000.0,22000.0,138180000.0,249167000.0,-6996000.0,266964000.0,1498530000.0,563000.0,23625000.0,57700000.0,72127000.0,139868000.0,158474000.0,319489000.0,1686366000.0,458526000.0,343000.0,1095000.0,,8003000.0,8003000.0,627000.0,627000.0,-7885000.0,63302000.0,1043352000.0,-127773000.0,1156000.0,,,,,100337000.0,24718000.0,,36488000.0,405462000.0,441950000.0,100337000.0,-49260000.0,9433000.0,1076000.0,349322000.0,1269800000.0,27174000.0,-5187000.0,8082000.0,138497000.0,103047000.0,103047000.0,108234000.0,0.0,103047000.0,103047000.0,103047000.0,108234000.0,-11686000.0,-8507000.0,2145000.0,51077000.0,51077000.0,-8507000.0,-8207000.0,560000.0,554573000.0,-126314000.0,477200000.0,21695000.0,4261000.0,18536000.0,4367000.0,248873000.0,102802557.464068,210127000.0,327209000.0,131317000.0,973833000.0,90700000.0,-1000.0,1857000.0,1000.0,18606000.0,7926000.0,2000.0,2000.0,8048000.0,4228000.0,9897000.0,1099505000.0,9135000.0,6300000.0,-812000.0,0.0,154265000.0,2399000.0,21607000.0,6278000.0,130177000.0,0.0,741000.0,-11686000.0,-126314000.0,4105000.0,515307000.0,110987000.0,-49260000.0,6300000.0,106364000.0,2237000.0,90700000.0,294000.0,635674000.0,477200000.0,49557.464068,21943000.0,0.168563,17156000.0,-29875000.0,1414277000.0,1041136000.0,444166000.0,662848000.0,842516000.0,751429000.0,750912000.0,470425000.0,139987000.0,1131000.0,973833000.0,22124000.0,294000.0,294000.0,,1497000.0,382361000.0,518000.0
2021-12-31,12M,EUR,150290000.0,340023000.0,-1300748000.0,63335000.0,-25935000.0,5674000.0,5674000.0,,68000.0,90728470.0,0.987,266964000.0,206014000.0,-147752000.0,34573000.0,47164000.0,139641000.0,139641000.0,-23857000.0,139140000.0,501000.0,,-128966000.0,-1825000.0,-5619000.0,-4387000.0,23084000.0,-20112000.0,-8859000.0,-130488000.0,47164000.0,-23857000.0,698257000.0,32129000.0,628982000.0,591835000.0,1643000.0,1643000.0,315398000.0,29072000.0,119296000.0,119296000.0,119296000.0,119296000.0,1135000.0,90728470.0,0.987,89549000.0,34000.0,134026000.0,253322000.0,1522000.0,137998000.0,2151957000.0,1509000.0,-93532000.0,59054000.0,44812000.0,170313000.0,193065000.0,365958000.0,1916077000.0,483927000.0,1443000.0,1009000.0,0.0,8098000.0,8098000.0,317000.0,317000.0,-8153000.0,67303000.0,1041273000.0,-229520000.0,1077000.0,4339000.0,2294000.0,5566000.0,506000.0,279000.0,28534000.0,,34573000.0,341373000.0,375946000.0,279000.0,-59876000.0,12704000.0,3070000.0,437170000.0,1918305000.0,23195000.0,-4208000.0,-78137000.0,203375000.0,89549000.0,89549000.0,93757000.0,0.0,89549000.0,89549000.0,89549000.0,93757000.0,-9149000.0,-8674000.0,-3631000.0,-59597000.0,-59597000.0,-8674000.0,,,615329000.0,-138603000.0,505192000.0,21031000.0,7362000.0,18696000.0,4910000.0,253064000.0,89356909.567372,192564000.0,359163000.0,124764000.0,1112909000.0,90700000.0,1000.0,1000.0,1000.0,22752000.0,7982000.0,-1000.0,-1000.0,9941000.0,5658000.0,5930000.0,1212230000.0,15224000.0,6834000.0,-1118000.0,0.0,175470000.0,1307000.0,24110000.0,10178000.0,125928000.0,0.0,3825000.0,-9149000.0,-138603000.0,6336000.0,628982000.0,119296000.0,-59876000.0,6834000.0,90394000.0,,90700000.0,258000.0,698257000.0,505192000.0,65909.567372,32170000.0,0.255463,21366000.0,-37209000.0,1444448000.0,1039630000.0,377589000.0,721452000.0,988145000.0,722996000.0,852612000.0,407598000.0,135771000.0,893000.0,1112909000.0,19216000.0,258000.0,258000.0,,1913000.0,276437000.0,860000.0
2022-12-31,12M,EUR,175114000.0,431054000.0,-1412157000.0,63335000.0,-25543000.0,,,,73000.0,90700814.0,1.474,137998000.0,248644000.0,-161178000.0,47732000.0,47164000.0,134642000.0,142203000.0,-24259000.0,134011000.0,631000.0,,-10216000.0,-13758000.0,-28364000.0,13324000.0,24833000.0,-80521000.0,-84486000.0,-7033000.0,47164000.0,-24259000.0,820615000.0,26273000.0,875176000.0,727403000.0,6860000.0,6860000.0,370842000.0,42294000.0,128950000.0,128950000.0,128950000.0,128950000.0,0.0,90700814.0,1.474,133693000.0,73000.0,188183000.0,317133000.0,-3183000.0,127782000.0,1881964000.0,7771000.0,30345000.0,75670000.0,49225000.0,216811000.0,243361000.0,456597000.0,2106321000.0,504011000.0,5225000.0,611000.0,9000.0,8314000.0,8314000.0,677000.0,677000.0,-7737000.0,84143000.0,1214729000.0,-247781000.0,684000.0,3461000.0,3219000.0,5921000.0,481000.0,107758000.0,29840000.0,,47732000.0,387254000.0,434986000.0,107758000.0,-61598000.0,13082000.0,3309000.0,480973000.0,1605390000.0,42016000.0,-3882000.0,-75426000.0,259472000.0,133693000.0,133693000.0,137574000.0,0.0,133693000.0,133693000.0,133693000.0,137574000.0,-9829000.0,-11841000.0,-11177000.0,46160000.0,46160000.0,-11841000.0,,,694164000.0,-151349000.0,577254000.0,18557000.0,12163000.0,15143000.0,12372000.0,316491000.0,133303600.2,210403000.0,394834000.0,109177000.0,1379187000.0,90700000.0,1000.0,-1000.0,-1000.0,26550000.0,8192000.0,1000.0,,82651000.0,6227000.0,4390000.0,1320591000.0,18589000.0,7561000.0,-1254000.0,0.0,212129000.0,1702000.0,24902000.0,11555000.0,179869000.0,0.0,975000.0,-9829000.0,-151349000.0,5652000.0,875176000.0,128950000.0,-61598000.0,7561000.0,134397000.0,,90700000.0,538000.0,820615000.0,577254000.0,44600.2,42294000.0,0.0829,46188000.0,-28664000.0,1718583000.0,1207869000.0,441846000.0,862631000.0,1270010000.0,855952000.0,991179000.0,485110000.0,192462000.0,4204000.0,1379187000.0,32552000.0,642000.0,538000.0,,2821000.0,356561000.0,603000.0
2023-12-31,12M,EUR,168367000.0,448454000.0,-1527776000.0,63335000.0,-26154000.0,,,,78000.0,90686372.0,1.607,127782000.0,270319000.0,-204955000.0,53669000.0,47164000.0,205627000.0,216649000.0,-33548000.0,205105000.0,522000.0,,74655000.0,-13977000.0,-5244000.0,2679000.0,-29122000.0,-8111000.0,-53775000.0,75786000.0,47164000.0,-33548000.0,928611000.0,53619000.0,845649000.0,834353000.0,3190000.0,3190000.0,379459000.0,57905000.0,144765000.0,144765000.0,144765000.0,144765000.0,,90686372.0,1.607,145733000.0,436000.0,224574000.0,369339000.0,-1131000.0,202437000.0,2870527000.0,3892000.0,52421000.0,93416000.0,65105000.0,245628000.0,287637000.0,474608000.0,2282347000.0,641487000.0,3499000.0,818000.0,,13965000.0,13965000.0,1896000.0,1896000.0,-11709000.0,100804000.0,1406521000.0,-246695000.0,896000.0,3716000.0,16285000.0,6435000.0,491000.0,157813000.0,41858000.0,,53669000.0,474720000.0,528389000.0,157813000.0,-68180000.0,26926000.0,3847000.0,491859000.0,2521460000.0,46515000.0,-6972000.0,-46509000.0,272283000.0,145733000.0,145733000.0,152704000.0,0.0,145733000.0,145733000.0,145733000.0,152704000.0,-25371000.0,-16637000.0,4769000.0,89633000.0,89633000.0,-16637000.0,,,754571000.0,-179584000.0,640974000.0,19211000.0,15104000.0,16917000.0,12354000.0,368980000.0,147792370.0,270060000.0,454338000.0,187149000.0,1487136000.0,90700000.0,,,1000.0,42009000.0,13785000.0,1000.0,,40754000.0,7814000.0,8070000.0,1424692000.0,32843000.0,11022000.0,-1679000.0,0.0,212325000.0,2276000.0,28879000.0,,210609000.0,0.0,733000.0,-25371000.0,-179584000.0,4787000.0,845649000.0,144765000.0,-68180000.0,,147053000.0,,90700000.0,-900000.0,928611000.0,640974000.0,-99630.0,57905000.0,0.1107,32104000.0,-37407000.0,1940667000.0,1403331000.0,531579000.0,975126000.0,1299987000.0,965541000.0,1106314000.0,586082000.0,227125000.0,4568000.0,1487136000.0,35452000.0,359000.0,-900000.0,,2601000.0,454894000.0,1320000.0
