symbol,asOfDate,periodType,currencyCode,BasicAverageShares,BasicEPS,CostOfRevenue,DepreciationAndAmortizationInIncomeStatement,DepreciationIncomeStatement,DilutedAverageShares,DilutedEPS,DilutedNIAvailtoComStockholders,EBIT,EBITDA,GrossProfit,InterestExpense,InterestExpenseNonOperating,InterestIncome,InterestIncomeNonOperating,MinorityInterests,NetIncome,NetIncomeCommonStockholders,NetIncomeContinuousOperations,NetIncomeDiscontinuousOperations,NetIncomeExtraordinary,NetIncomeFromContinuingAndDiscontinuedOperation,NetIncomeFromContinuingOperationNetMinorityInterest,NetIncomeIncludingNoncontrollingInterests,NetInterestIncome,NetNonOperatingInterestIncomeExpense,NormalizedEBITDA,NormalizedIncome,OperatingExpense,OperatingIncome,OperatingRevenue,OtherNonOperatingIncomeExpenses,OtherOperatingExpenses,OtherSpecialCharges,OtherunderPreferredStockDividend,PretaxIncome,ReconciledCostOfRevenue,ReconciledDepreciation,SpecialIncomeCharges,TaxEffectOfUnusualItems,TaxProvision,TaxRateForCalcs,TotalExpenses,TotalOperatingIncomeAsReported,TotalOtherFinanceCost,TotalRevenue,TotalUnusualItems,TotalUnusualItemsExcludingGoodwill,WriteOff
SOL.MI,2021-06-30,TTM,EUR,90686686.0,1.27,,,,90700000.0,1.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOL.MI,2023-06-30,3M,EUR,90656471.0,0.425,210540000.0,35456000.0,35456000.0,90656471.0,0.425,38529000.0,59784000.0,95240000.0,159340000.0,4402000.0,4402000.0,1260000.0,1260000.0,,38529000.0,38529000.0,40248000.0,,-1720000.0,40249000.0,40249000.0,38528000.0,-3142000.0,-3142000.0,95240000.0,40249000.0,114156000.0,45184000.0,369880000.0,12986000.0,2776000.0,,0.0,55382000.0,210540000.0,35456000.0,,0.0,15134000.0,0.273266,324696000.0,58170000.0,,369880000.0,,,
SOL.MI,2023-06-30,TTM,EUR,90681877.0,1.639,,,,90700000.0,1.639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOL.MI,2023-12-31,TTM,EUR,90686372.0,1.607,845649000.0,144765000.0,144765000.0,,1.607,145733000.0,224574000.0,369339000.0,641487000.0,13965000.0,13965000.0,1896000.0,1896000.0,-6972000.0,145733000.0,145733000.0,152704000.0,0.0,,145733000.0,145733000.0,152704000.0,-16637000.0,-16637000.0,368980000.0,147792370.0,454338000.0,187149000.0,1487136000.0,40754000.0,7814000.0,-1679000.0,0.0,210609000.0,845649000.0,144765000.0,-900000.0,-99630.0,57905000.0,0.1107,1299987000.0,227125000.0,4568000.0,1487136000.0,359000.0,-900000.0,1320000.0
