symbol,asOfDate,periodType,currencyCode,BeginningCashPosition,CapitalExpenditure,CashDividendsPaid,ChangeInCashSupplementalAsReported,ChangeInInventory,ChangeInOtherCurrentAssets,ChangeInOtherCurrentLiabilities,ChangeInPayable,ChangeInReceivables,ChangeInWorkingCapital,ChangesInCash,CommonStockDividendPaid,DeferredTax,Depreciation,DepreciationAndAmortization,EffectOfExchangeRateChanges,EndCashPosition,FinancingCashFlow,FreeCashFlow,InterestPaidCFF,InvestingCashFlow,IssuanceOfDebt,LongTermDebtIssuance,LongTermDebtPayments,NetBusinessPurchaseAndSale,NetIncome,NetIncomeFromContinuingOperations,NetIntangiblesPurchaseAndSale,NetInvestmentPurchaseAndSale,NetIssuancePaymentsOfDebt,NetLongTermDebtIssuance,NetPPEPurchaseAndSale,OperatingCashFlow,OtherNonCashItems,PensionAndEmployeeBenefitExpense,ProvisionandWriteOffofAssets,PurchaseOfIntangibles,PurchaseOfPPE,RepaymentOfDebt,TaxesRefundPaid
SOL.MI,2023-06-30,3M,EUR,,,,,,,,,,,,,,,,,,,,,,,,,,38529000.0,,,,,,,,,,,,,,
SOL.MI,2023-12-31,TTM,EUR,127782000.0,-204955000.0,-33548000.0,74655000.0,-13977000.0,-5244000.0,2679000.0,-29122000.0,-8111000.0,-53775000.0,75786000.0,-33548000.0,57905000.0,144765000.0,144765000.0,-1131000.0,202437000.0,52421000.0,65105000.0,-11709000.0,-246695000.0,157813000.0,157813000.0,-68180000.0,-46509000.0,145733000.0,145733000.0,-25371000.0,4769000.0,89633000.0,89633000.0,-179584000.0,270060000.0,13785000.0,2276000.0,733000.0,-25371000.0,-179584000.0,-68180000.0,-37407000.0
