symbol,asOfDate,periodType,currencyCode,BeginningCashPosition,CapitalExpenditure,ChangeInAccruedExpense,ChangeInCashSupplementalAsReported,ChangeInInventory,ChangeInOtherCurrentAssets,ChangeInPayable,ChangeInReceivables,ChangeInWorkingCapital,ChangesInCash,CommonStockIssuance,CommonStockPayments,Depreciation,DepreciationAndAmortization,EndCashPosition,FinancingCashFlow,FreeCashFlow,InterestPaidCFO,InvestingCashFlow,IssuanceOfCapitalStock,IssuanceOfDebt,LongTermDebtIssuance,LongTermDebtPayments,NetCommonStockIssuance,NetIncome,NetIncomeFromContinuingOperations,NetInvestmentPurchaseAndSale,NetIssuancePaymentsOfDebt,NetLongTermDebtIssuance,NetPPEPurchaseAndSale,NetShortTermDebtIssuance,OperatingCashFlow,PurchaseOfInvestment,PurchaseOfPPE,RepaymentOfDebt,RepurchaseOfCapitalStock,SaleOfInvestment,SaleOfPPE,TaxesRefundPaid
AMB.MI,2019-12-31,12M,EUR,,,,,,,,,,,104700.0,,,,,,,,,104700.0,,,-318659.0,,,,,,,,,,-116692.0,,-318659.0,,9120.0,116948.0,
AMB.MI,2020-12-31,12M,EUR,342032.0,-54198.0,9488.0,596805.0,-195379.0,384.0,55941.0,-332141.0,-461707.0,596805.0,204103.0,,14369.0,14369.0,938837.0,907654.0,-297481.0,-18626.0,-67566.0,204103.0,659643.0,659643.0,,204103.0,75407.0,158501.0,-13368.0,703551.0,659643.0,-54198.0,43908.0,-243283.0,-13368.0,-54198.0,,,,,54726.0
AMB.MI,2021-12-31,12M,EUR,938837.0,-49090.0,18843.0,477630.0,-205708.0,52676.0,-57819.0,364284.0,172276.0,477630.0,,-1.0,22185.0,22185.0,1416467.0,-200917.0,730554.0,-34622.0,-101097.0,,,,-148081.0,-1.0,338558.0,563271.0,-52007.0,-200916.0,-148081.0,-49090.0,-52835.0,779644.0,-52820.0,-49090.0,-148081.0,-1.0,813.0,,39606.0
AMB.MI,2022-12-31,12M,EUR,1416467.0,-122382.0,-43606.0,-1144522.0,144209.0,66271.0,-220231.0,-64834.0,-118191.0,-1144522.0,600.0,,37670.0,37670.0,271945.0,-246695.0,-900327.0,-29599.0,-119882.0,600.0,,,-177576.0,600.0,-404801.0,-415348.0,2500.0,-247295.0,-177576.0,-122382.0,-69719.0,-777945.0,,-122382.0,-177576.0,,2500.0,,-271508.0
AMB.MI,2023-12-31,12M,EUR,271945.0,,-3125.0,-97497.0,236433.0,-121935.0,-23596.0,-39442.0,48335.0,-97497.0,362.0,,31120.0,31120.0,174448.0,159584.0,-350641.0,-48118.0,93560.0,362.0,137148.0,137148.0,,362.0,-291649.0,-328881.0,5558.0,159222.0,137148.0,88002.0,22074.0,-350641.0,,,,,5558.0,88002.0,20121.0
AMB.MI,2023-12-31,TTM,EUR,271945.0,,-3125.0,-97497.0,236433.0,-121935.0,-23596.0,-39442.0,48335.0,-97497.0,362.0,,31120.0,31120.0,174448.0,159584.0,-350641.0,-48118.0,93560.0,362.0,137148.0,137148.0,,362.0,-291649.0,-328881.0,5558.0,159222.0,137148.0,88002.0,22074.0,-350641.0,,,,,5558.0,88002.0,20121.0
