asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AccumulatedDepreciation,AllowanceForDoubtfulAccountsReceivable,Amortization,AssetsHeldForSaleCurrent,BasicAverageShares,BasicEPS,BeginningCashPosition,BuildingsAndImprovements,CapitalLeaseObligations,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CashDividendsPaid,CashFinancial,ChangeInCashSupplementalAsReported,ChangesInCash,CommonStock,CommonStockDividendPaid,CommonStockEquity,CostOfRevenue,CurrentAssets,CurrentCapitalLeaseObligation,CurrentDebt,CurrentDebtAndCapitalLeaseObligation,CurrentDeferredAssets,CurrentLiabilities,CurrentProvisions,DefinedPensionBenefit,DepreciationAndAmortizationInIncomeStatement,DepreciationIncomeStatement,DerivativeProductLiabilities,DilutedAverageShares,DilutedEPS,DilutedNIAvailtoComStockholders,EBIT,EBITDA,EffectOfExchangeRateChanges,EndCashPosition,EnterpriseValue,FinancingCashFlow,FinishedGoods,FreeCashFlow,Goodwill,GoodwillAndOtherIntangibleAssets,GrossAccountsReceivable,GrossPPE,GrossProfit,HedgingAssetsCurrent,InterestExpense,InterestExpenseNonOperating,Inventory,InvestedCapital,InvestingCashFlow,InvestmentProperties,LandAndImprovements,LongTermCapitalLeaseObligation,LongTermDebt,LongTermDebtAndCapitalLeaseObligation,LongTermEquityInvestment,LongTermProvisions,MachineryFurnitureEquipment,MarketCap,MinorityInterest,MinorityInterests,NetDebt,NetIncome,NetIncomeCommonStockholders,NetIncomeContinuousOperations,NetIncomeDiscontinuousOperations,NetIncomeFromContinuingAndDiscontinuedOperation,NetIncomeFromContinuingOperationNetMinorityInterest,NetIncomeIncludingNoncontrollingInterests,NetInterestIncome,NetIssuancePaymentsOfDebt,NetLongTermDebtIssuance,NetNonOperatingInterestIncomeExpense,NetOtherFinancingCharges,NetOtherInvestingChanges,NetPPE,NetTangibleAssets,NonCurrentDeferredRevenue,NonCurrentDeferredTaxesAssets,NonCurrentDeferredTaxesLiabilities,NonCurrentPensionAndOtherPostretirementBenefitPlans,NonCurrentPrepaidAssets,NormalizedEBITDA,NormalizedIncome,OperatingCashFlow,OperatingExpense,OperatingIncome,OperatingRevenue,OrdinarySharesNumber,OtherCashAdjustmentOutsideChangeinCash,OtherCurrentAssets,OtherCurrentLiabilities,OtherIntangibleAssets,OtherInvestments,OtherNonCurrentAssets,OtherNonCurrentLiabilities,OtherOperatingExpenses,OtherPayable,OtherProperties,OtherReceivables,OtherSpecialCharges,OtherunderPreferredStockDividend,Payables,PensionandOtherPostRetirementBenefitPlansCurrent,PrepaidAssets,PretaxIncome,Properties,RawMaterials,ReconciledCostOfRevenue,ReconciledDepreciation,RestructuringAndMergernAcquisition,ShareIssued,SpecialIncomeCharges,StockholdersEquity,TangibleBookValue,TaxEffectOfUnusualItems,TaxProvision,TaxRateForCalcs,TaxesReceivable,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalExpenses,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,TotalOtherFinanceCost,TotalRevenue,TotalTaxPayable,TotalUnusualItems,TotalUnusualItemsExcludingGoodwill,TradeandOtherPayablesNonCurrent,TreasurySharesNumber,TreasuryStock,WorkInProcess,WorkingCapital
2022-12-31,3M,EUR,,,-5818000000.0,-587000000.0,,37000000.0,,,,728000000.0,570000000.0,2525000000.0,1511000000.0,1511000000.0,-2000000.0,1511000000.0,,,2525000000.0,-2000000.0,,4149000000.0,14639000000.0,78000000.0,1004000000.0,1082000000.0,2000000.0,15533000000.0,,,145000000.0,,0.0,,,,,,,,,-649000000.0,336000000.0,,3925000000.0,7410000000.0,3925000000.0,8722000000.0,647000000.0,224000000.0,32000000.0,32000000.0,,,,49000000.0,1689000000.0,492000000.0,3039000000.0,3531000000.0,2099000000.0,752000000.0,1803000000.0,,,-5000000.0,2532000000.0,,,,-275000000.0,,,,134000000.0,,,134000000.0,741000000.0,544000000.0,2904000000.0,,79000000.0,1133000000.0,246000000.0,368000000.0,20000000.0,,,,313000000.0,334000000.0,,,,101000000.0,413000000.0,3485000000.0,23000000.0,29000000.0,374000000.0,326000000.0,671000000.0,4502000000.0,3854000000.0,,,3976000000.0,477000000.0,1197000000.0,,0.0,2314000000.0,4149000000.0,145000000.0,,,30000000.0,,,,,,124000000.0,28582000000.0,,4613000000.0,7699000000.0,4462000000.0,20883000000.0,13943000000.0,,-155000000.0,,251000000.0,,,424000000.0,2843120.0,26000000.0,1601000000.0,-894000000.0
2023-03-31,3M,EUR,2582000000.0,3376000000.0,,,8000000.0,,575307275.0,0.062575,2407000000.0,,,,,,,,-624000000.0,-624000000.0,,,7237000000.0,2776000000.0,,,,,,,1061000000.0,,143000000.0,-8000000.0,,575307275.0,0.062575,36000000.0,123000000.0,123000000.0,35000000.0,1818000000.0,8261824715.0,9000000.0,,-621000000.0,,,,,258000000.0,,30000000.0,30000000.0,1102000000.0,7237000000.0,-12000000.0,,,,,,,,,6224824715.0,512000000.0,-4000000.0,,36000000.0,36000000.0,40000000.0,0.0,36000000.0,36000000.0,40000000.0,-46000000.0,9000000.0,9000000.0,-46000000.0,,-12000000.0,,7237000000.0,,,,,,120000000.0,33387096.774194,-621000000.0,147000000.0,111000000.0,3034000000.0,575307275.0,251000000.0,,,,,,2169000000.0,4000000.0,,,,3000000.0,0.0,,,,93000000.0,,,2776000000.0,143000000.0,1000000.0,575307275.0,-4000000.0,7237000000.0,7237000000.0,387096.774194,12000000.0,0.129032,,,7237000000.0,,,2923000000.0,,,2169000000.0,16000000.0,3034000000.0,,3000000.0,3000000.0,,,,,
2023-06-30,3M,EUR,2739000000.0,3474000000.0,,,-55000000.0,,,,1070000000.0,544000000.0,621000000.0,2499000000.0,1087000000.0,1087000000.0,,,13000000.0,264000000.0,2499000000.0,,7387000000.0,3483000000.0,14913000000.0,78000000.0,231000000.0,309000000.0,12000000.0,15493000000.0,1057000000.0,242000000.0,132000000.0,187000000.0,0.0,,,160000000.0,257000000.0,389000000.0,4000000.0,1087000000.0,8017319123.0,,,-148000000.0,3938000000.0,7467000000.0,,2989000000.0,377000000.0,240000000.0,27000000.0,27000000.0,5599000000.0,10482000000.0,37000000.0,,910000000.0,543000000.0,2864000000.0,3407000000.0,1989000000.0,766000000.0,391000000.0,5980319123.0,520000000.0,-8000000.0,2008000000.0,160000000.0,160000000.0,168000000.0,,160000000.0,160000000.0,168000000.0,-34000000.0,,,-34000000.0,,,2989000000.0,-80000000.0,75000000.0,1095000000.0,275000000.0,298000000.0,6000000.0,417000000.0,180452173.913043,148000000.0,126000000.0,251000000.0,3860000000.0,575307275.0,,144000000.0,336000000.0,3529000000.0,,29000000.0,,33000000.0,2203000000.0,1144000000.0,4038000000.0,,0.0,5120000000.0,,123000000.0,230000000.0,0.0,,3483000000.0,132000000.0,3000000.0,578150395.0,-25000000.0,7387000000.0,-80000000.0,-7547826.086957,62000000.0,0.269565,196000000.0,28790000000.0,10251000000.0,3716000000.0,7907000000.0,3609000000.0,20883000000.0,13877000000.0,5390000000.0,7000000.0,3860000000.0,178000000.0,-28000000.0,-28000000.0,519000000.0,2843120.0,,,-580000000.0
2023-09-30,3M,EUR,3057000000.0,3541000000.0,,,8000000.0,1000000.0,575307275.0,0.161653,1087000000.0,,622000000.0,,895000000.0,895000000.0,-1000000.0,,-190000000.0,-190000000.0,,-1000000.0,7458000000.0,3022000000.0,,93000000.0,,,,,1072000000.0,,162000000.0,154000000.0,,575307275.0,0.161653,93000000.0,182000000.0,344000000.0,-2000000.0,895000000.0,10487697376.0,-80000000.0,,553000000.0,,,,,353000000.0,,,,1534000000.0,7458000000.0,-367000000.0,,,529000000.0,,529000000.0,,,,7858697376.0,544000000.0,,,93000000.0,93000000.0,93000000.0,,93000000.0,93000000.0,93000000.0,-73000000.0,,,-73000000.0,-79000000.0,-615000000.0,,7458000000.0,,,,,,357000000.0,105593750.0,257000000.0,171000000.0,182000000.0,3375000000.0,575307275.0,,,,,,,,9000000.0,,,,37000000.0,0.0,,,,96000000.0,,,3022000000.0,162000000.0,8000000.0,575307275.0,-37000000.0,7458000000.0,7458000000.0,-406250.0,3000000.0,0.03125,,,7458000000.0,622000000.0,,3193000000.0,,14007000000.0,2193000000.0,,3375000000.0,,-13000000.0,-13000000.0,,,,,
2023-12-31,3M,EUR,3268000000.0,3685000000.0,-6089000000.0,-516000000.0,162000000.0,0.0,574886536.0,0.661,895000000.0,809000000.0,610000000.0,2525000000.0,2407000000.0,2407000000.0,0.0,2407000000.0,1526000000.0,1526000000.0,2525000000.0,0.0,7800000000.0,4418000000.0,16398000000.0,79000000.0,1965000000.0,2044000000.0,0.0,17420000000.0,1087000000.0,,117000000.0,-45000000.0,0.0,574886536.0,0.661,380000000.0,515000000.0,632000000.0,-14000000.0,2407000000.0,8226214152.0,-11000000.0,361000000.0,557000000.0,3899000000.0,7565000000.0,4201000000.0,9197000000.0,604000000.0,207000000.0,58000000.0,58000000.0,4698000000.0,12119000000.0,198000000.0,44000000.0,1807000000.0,531000000.0,2354000000.0,2885000000.0,2087000000.0,778000000.0,1910000000.0,8592214152.0,761000000.0,-14000000.0,1912000000.0,380000000.0,380000000.0,405000000.0,-11000000.0,380000000.0,391000000.0,394000000.0,-108000000.0,,,-108000000.0,8000000.0,931000000.0,3108000000.0,235000000.0,84000000.0,1213000000.0,268000000.0,355000000.0,4000000.0,664000000.0,419358862.14442,1339000000.0,166000000.0,438000000.0,5022000000.0,575307275.0,,138000000.0,416000000.0,3666000000.0,14000000.0,29000000.0,342000000.0,232000000.0,702000000.0,4671000000.0,3943000000.0,-80000000.0,0.0,4202000000.0,517000000.0,1135000000.0,457000000.0,0.0,2532000000.0,4418000000.0,117000000.0,,578150395.0,32000000.0,7800000000.0,235000000.0,-3641137.85558,52000000.0,0.113786,185000000.0,30693000000.0,10154000000.0,4929000000.0,8561000000.0,4584000000.0,22132000000.0,14295000000.0,4712000000.0,83000000.0,5022000000.0,232000000.0,-32000000.0,-32000000.0,,2843120.0,26000000.0,1805000000.0,-1022000000.0
2024-03-31,3M,EUR,3137000000.0,3767000000.0,,,8000000.0,,575307275.0,0.776976,1511000000.0,,,,,,,,-437000000.0,-437000000.0,,,8327000000.0,,,,,,,,1077000000.0,,,-8000000.0,,575307275.0,0.776976,447000000.0,185000000.0,185000000.0,-4000000.0,1070000000.0,15915153362.0,255000000.0,,-688000000.0,,,,,,,17000000.0,17000000.0,1053000000.0,8327000000.0,-4000000.0,,,,,,,,,13393153362.0,1081000000.0,-12000000.0,,447000000.0,447000000.0,93000000.0,366000000.0,447000000.0,81000000.0,459000000.0,,255000000.0,255000000.0,,,-4000000.0,,8327000000.0,,,,,,193000000.0,87523809.52381,-688000000.0,,,3664000000.0,575307275.0,,,,,,,,,,,,,0.0,,,,168000000.0,,,,,5000000.0,575307275.0,,8327000000.0,8327000000.0,-1476190.47619,31000000.0,0.184524,,,8327000000.0,,,,,15003000000.0,2264000000.0,,3664000000.0,,-8000000.0,-8000000.0,,,,,
