symbol,asOfDate,periodType,currencyCode,BeginningCashPosition,CapitalExpenditure,ChangeInAccruedExpense,ChangeInCashSupplementalAsReported,ChangeInInventory,ChangeInOtherCurrentAssets,ChangeInPayable,ChangeInReceivables,ChangeInWorkingCapital,ChangesInCash,CommonStockIssuance,DeferredTax,Depreciation,DepreciationAndAmortization,EndCashPosition,FinancingCashFlow,FreeCashFlow,GainLossOnSaleOfPPE,InterestPaidCFO,InvestingCashFlow,IssuanceOfCapitalStock,IssuanceOfDebt,LongTermDebtIssuance,NetCommonStockIssuance,NetIncome,NetIncomeFromContinuingOperations,NetIntangiblesPurchaseAndSale,NetInvestmentPurchaseAndSale,NetIssuancePaymentsOfDebt,NetLongTermDebtIssuance,NetOtherFinancingCharges,NetOtherInvestingChanges,NetPPEPurchaseAndSale,NetShortTermDebtIssuance,OperatingCashFlow,OtherCashAdjustmentOutsideChangeinCash,OtherNonCashItems,PensionAndEmployeeBenefitExpense,ProvisionandWriteOffofAssets,PurchaseOfIntangibles,PurchaseOfInvestment,PurchaseOfPPE,SaleOfInvestment,TaxesRefundPaid
FNX.MI,2019-12-31,12M,EUR,4841.0,-4091391.0,484236.0,121908.0,,-1118976.0,1480592.0,-1360554.0,-514702.0,121908.0,24766.0,581648.0,171117.0,171117.0,126749.0,683507.0,-2584960.0,-527000.0,-49228.0,-2068030.0,24766.0,659000.0,659000.0,24766.0,1101940.0,1101940.0,-3988217.0,19940.0,373236.0,659000.0,285505.0,2003421.0,-103174.0,373236.0,1506431.0,,49228.0,8037.0,8037.0,-3988217.0,,-103174.0,19940.0,153882.0
FNX.MI,2020-12-31,12M,EUR,126749.0,-10644786.0,3025403.0,153558.0,,-3277785.0,3329192.0,-602150.0,2474660.0,153558.0,2468462.0,804185.0,367263.0,367263.0,280309.0,5182666.0,-5028585.0,,-88445.0,-10645309.0,2468462.0,,,2468462.0,2131191.0,2131191.0,-10609625.0,-19873.0,247607.0,,2466597.0,19350.0,-35161.0,247607.0,5616201.0,2.0,88445.0,17505.0,17505.0,-10609625.0,-19873.0,-35161.0,,-181673.0
FNX.MI,2021-12-31,12M,EUR,,,,,,,,,,,,,,,,,,,,,,,,,527727.0,,,,,,,,,,,,,,,,,,,
FNX.MI,2022-12-31,12M,EUR,1221394.0,-5190542.0,-12011407.0,-532713.0,32730.0,-3831479.0,-20776697.0,24398316.0,-12188537.0,-532713.0,66852.0,51698.0,12206338.0,12206338.0,688681.0,6719094.0,-6709091.0,,,-5733258.0,66852.0,,,66852.0,-8314583.0,-8457142.0,-4978921.0,-542716.0,6652242.0,,,,-211621.0,6652242.0,-1518549.0,,2532644.0,,307095.0,-4978921.0,-542716.0,-211621.0,,
FNX.MI,2023-06-30,TTM,EUR,563186.0,-8439830.0,-11300042.0,429182.0,-546270.0,,-19714054.0,21046511.0,-4271967.0,429182.0,249440.0,,15030404.0,15030404.0,992368.0,1545777.0,-617887.0,,,-8938538.0,249440.0,,,249440.0,-10265198.0,-10770200.0,-1776001.0,-537547.0,,,,,-6663829.0,,7821943.0,,,,334774.0,-1776001.0,-537547.0,,,
