Millenium,2023,2022,2021,2020,2019
Fatturato,988.223,835.597,673.719,606.507,712.710
Proventi dalle attività ordinarie,988.223,835.597,673.719,606.507,712.710
Risultato operativo,85.522,70.895,42.848,46.268,71.404
Costo dell'indebitamento finanziario netto,8.793,5.670,5.445,7.560,13.560
Risultato delle aziende associate al bilancio di Gruppo,0,-595,488,11.678,0
Risultato netto delle attività dismesse,,,,,0
Utile netto,52.429,44.993,26.549,37.953,43.160
Utile netto: quota del gruppo,52.339,44.812,26.966,38.590,43.014
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
