Millenium,2022,2021,2020
Fatturato,5.319.169,4.304.710,4.217.501
Acquisti consumati,5.658,4.883,6.132
Spese per il personale,3.253.020,2.789.103,2.316.569
Risultato d'esercizio,-614.591,-264.793,-131.096
Imposte sugli utili,346.044,32.877,-56.701
Utile netto,-1.062.984,-359.365,-139.347
Utile netto: quota del gruppo,-1.062.984,-359.365,-139.347
Chiusura esercizio fiscale,2023-06-30,2022-06-30,2021-06-30
Durata esercizio fiscale (mesi),12,12,12
Valuta e unità di misura,EUR - unità,EUR - unità,EUR - unità
Principi Contabili,US GAAP,US GAAP,US GAAP
