Millenium,2023,2022,2021,2020,2019
Fatturato,835.942,851.112,556.904,373.290,352.074
Proventi dalle attività ordinarie,835.942,851.112,556.904,373.290,352.074
Risultato operativo,80.327,76.387,35.419,1.421,8.610
Costo dell'indebitamento finanziario netto,17.670,9.462,5.724,4.342,3.667
Risultato delle aziende associate al bilancio di Gruppo,,,,,
Risultato netto delle attività dismesse,,,,,
Utile netto,38.608,43.778,20.691,2.322,4.020
Utile netto: quota del gruppo,34.057,39.287,18.752,2.200,3.660
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
