Millenium,2023,2022,2021,2020,2019
Fatturato,10.640,3.586,3.172,1.188,1.006
Acquisti consumati,27,57,79,9,7
Spese per il personale,2.038,1.370,884,451,211
Risultato d'esercizio,1.049,201,513,344,396
Imposte sugli utili,395,55,3,86,125
Utile netto,622,103,465,252,269
Utile netto: quota del gruppo,622,103,486,252,191
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,Local GAAP,Local GAAP,Local GAAP,Local GAAP,Local GAAP
