Millenium,2023,2022,2021,2020,2019
Fatturato,67.753,58.429,54.251,37.144,30.976
Acquisti consumati,23.710,23.557,19.170,10.970,11.211
Spese per il personale,16.960,14.375,13.082,10.392,9.529
Risultato d'esercizio,12.123,11.288,13.783,7.996,5.261
Imposte sugli utili,3.040,2.751,3.579,1.519,218
Utile netto,8.401,8.339,10.221,6.307,4.903
Utile netto: quota del gruppo,8.401,8.339,10.221,6.307,4.903
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,Local GAAP,Local GAAP,Local GAAP,Local GAAP,Local GAAP
