Millenium,2023,2022,2021,2020,2019
Risultato della gestione del portafoglio (titoli di partecipazioni e immobilizzazioni),0,0,0,0,0
Risultato di gestione di tesoreria,0,0,0,0,0
Fatturato,73.902,75.767,65.054,50.957.427,64.857.969
Proventi degli investimenti immobiliari,,,,,
Altri proventi dall'attività,784,568,294,242.936,371.981
Proventi dalle attività ordinarie,74.686,76.335,65.348,51.200.363,65.229.950
Risultato operativo,16.772,25.007,22.680,13.680.821,24.169.932
Costo dell'indebitamento finanziario netto,168,174,2.743,59.841,47.501
Risultato delle aziende associate al bilancio di Gruppo,,,-4.470,-379,
Risultato netto delle attività dismesse,,,,,
Utile netto,12.981,17.249,10.366,10.326.704,16.586.514
Utile netto: quota del gruppo,12.980,17.249,10.366,10.326.704,16.586.514
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - unità,EUR - unità
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
