Millenium,2023,2022,2021,2020,2019
Fatturato,19.783,21.542,18.586,13.338,12.821
Acquisti consumati,905,995,656,550,409
Spese per il personale,9.715,10.536,8.642,6.826,5.710
Risultato d'esercizio,175,-208,969,523,881
Imposte sugli utili,184,207,425,103,307
Utile netto,-463,-518,471,344,506
Utile netto: quota del gruppo,-567,-548,446,304,346
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,Local GAAP,Local GAAP,Local GAAP,Local GAAP,Local GAAP
