Millenium,2022,2021,2020,2019,2018
Fatturato,18.209,21.470,27.275,29.483,33.427
Acquisti consumati,5.458,11.900,12.727,19.034,17.259
Spese per il personale,4.420,5.381,5.544,5.566,5.784
Risultato d'esercizio,-2.469,-1.917,-1.872,-2.225,-498
Imposte sugli utili,-102,30,-361,-196,-47
Utile netto,-2.834,-2.296,-2.041,-2.370,-750
Utile netto: quota del gruppo,-2.834,-2.296,-2.041,-2.370,-750
Chiusura esercizio fiscale,2022-12-31,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,Local GAAP,Local GAAP,Local GAAP,Local GAAP,Local GAAP
