Millenium,2023,2022,2021,2020,2019
Fatturato,141.224,133.073,147.252,125.473,139.961
Proventi dalle attività ordinarie,143.583,135.700,147.252,125.473,139.961
Risultato operativo,14.899,11.050,9.610,8.260,366
Costo dell'indebitamento finanziario netto,18.681,15.737,16.155,16.562,13.453
Risultato delle aziende associate al bilancio di Gruppo,,,,,
Risultato netto delle attività dismesse,3.080,1.772,,,-48
Utile netto,-2.177,-4.003,5.760,-10.466,16.018
Utile netto: quota del gruppo,-2.177,-4.003,5.760,-10.466,16.018
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
