Millenium,2023,2022,2021,2020,2019
Fatturato,40.560,43.119,30.266,41.130,27.284
Acquisti consumati,39.399,42.473,28.961,38.046,26.451
Spese per il personale,235,240,221,272,60
Risultato d'esercizio,562,643,-128,1.220,755
Imposte sugli utili,132,172,-40,393,-54
Utile netto,353,454,-100,819,612
Utile netto: quota del gruppo,353,454,-100,819,612
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,Local GAAP,Local GAAP,Local GAAP,Local GAAP,Local GAAP
