Millenium,2023,2022,2021,2020,2019
Fatturato,147.264,157.885,139.841,137.446,167.040
Proventi dalle attività ordinarie,147.264,157.885,139.841,137.446,167.040
Risultato operativo,5.453,6.390,2.547,-5.811,-2.235
Costo dell'indebitamento finanziario netto,6.037,5.135,4.880,4.503,4.422
Risultato delle aziende associate al bilancio di Gruppo,,-216,-250,-575,-921
Risultato netto delle attività dismesse,,,,,
Utile netto,-1.590,548,-3.144,-8.391,-6.194
Utile netto: quota del gruppo,-1.741,314,-3.335,-8.515,-4.328
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
