Millenium,2023,2022,2021,2020,2019
Fatturato,85.393,76.305,64.750,51.837,63.188
Proventi dalle attività ordinarie,86.145,76.597,65.188,52.221,63.763
Risultato operativo,5.365,5.516,4.641,-2.027,1.756
Costo dell'indebitamento finanziario netto,203,272,304,311,236
Risultato delle aziende associate al bilancio di Gruppo,0,183,180,-76,-157
Risultato netto delle attività dismesse,,,,,
Utile netto,4.208,4.165,3.595,-1.898,860
Utile netto: quota del gruppo,4.208,4.165,3.595,-1.898,860
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
