Millenium,2023,2022,2021
Fatturato,15.314.286,14.226.824,11.729.304
Acquisti consumati,6.435.153,4.795.632,4.439.972
Spese per il personale,3.313.651,2.804.128,2.418.679
Risultato d'esercizio,987.677,2.620.676,1.897.624
Imposte sugli utili,363.557,784.586,386.270
Utile netto,1.175.191,1.817.488,1.454.269
Utile netto: quota del gruppo,1.175.191,1.817.488,1.454.269
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31
Durata esercizio fiscale (mesi),12,12,12
Valuta e unità di misura,EUR - unità,EUR - unità,EUR - unità
Principi Contabili,Local GAAP,Local GAAP,Local GAAP
