Millenium,2023,2022,2021,2020,2019
Fatturato,360.977,314.764,277.869,206.778,194.361
Proventi dalle attività ordinarie,368.703,322.574,283.672,210.846,196.538
Risultato operativo,39.231,31.665,28.231,15.489,20.502
Costo dell'indebitamento finanziario netto,10.012,4.185,4.211,2.534,2.029
Risultato delle aziende associate al bilancio di Gruppo,173,129,213,227,311
Risultato netto delle attività dismesse,,,,,
Utile netto,20.873,21.433,18.843,11.784,13.153
Utile netto: quota del gruppo,20.799,21.426,18.834,11.781,13.142
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
