Millenium,2023,2022,2021,2020,2019
Fatturato,172.264,167.108,154.966,85.096,86.359
Proventi dalle attività ordinarie,173.413,171.742,155.939,85.452,86.609
Risultato operativo,26.549,29.190,13.727,3.738,4.786
Costo dell'indebitamento finanziario netto,4.399,4.954,1.533,968,629
Risultato delle aziende associate al bilancio di Gruppo,914,2.040,1.381,1.507,1.886
Risultato netto delle attività dismesse,,,,,
Utile netto,15.776,18.636,9.977,3.234,4.464
Utile netto: quota del gruppo,15.026,17.269,9.649,3.102,4.364
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
