Millenium,2023,2022,2021,2020,2019
Fatturato,429.127,390.654,313.227,204.311,157.494
Proventi dalle attività ordinarie,429.127,390.654,313.227,204.311,157.494
Risultato operativo,27.372,19.213,22.908,18.218,11.722
Costo dell'indebitamento finanziario netto,0,0,2.647,1.151,1.227
Risultato delle aziende associate al bilancio di Gruppo,,,,,
Risultato netto delle attività dismesse,,,,,
Utile netto,16.458,11.033,14.537,14.193,7.899
Utile netto: quota del gruppo,16.300,11.242,14.537,14.193,7.899
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
