Millenium,2023,2022,2021,2020,2019
Fatturato,108.652,109.867,115.407,116.355,131.920
Proventi dalle attività ordinarie,116.465,118.034,115.407,116.355,135.859
Risultato operativo,-1.613,-13.594,8.347,-59.626,-45.580
Costo dell'indebitamento finanziario netto,361,600,310,336,-5.605
Risultato delle aziende associate al bilancio di Gruppo,,,,,
Risultato netto delle attività dismesse,,,,,
Utile netto,16.231,6.996,28.733,-44.277,-30.649
Utile netto: quota del gruppo,16.231,6.996,28.733,-44.277,-30.649
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
