Millenium,2023,2022,2021,2020,2019
Risultato della gestione del portafoglio (titoli di partecipazioni e immobilizzazioni),0,0,0,0,0
Risultato di gestione di tesoreria,0,0,0,0,0
Fatturato,1.540.813,1.196.284,1.069.776,1.041.535,1.005.718
Proventi degli investimenti immobiliari,,,,,
Altri proventi dall'attività,,,,,
Proventi dalle attività ordinarie,1.540.813,1.196.284,1.069.776,1.041.535,1.005.718
Risultato operativo,64.931,39.942,23.125,18.763,8.378
Costo dell'indebitamento finanziario netto,10.122,3.760,3.302,3.782,4.007
Risultato delle aziende associate al bilancio di Gruppo,1.614,2.041,1.019,795,170
Risultato netto delle attività dismesse,,,,,
Utile netto,48.129,32.460,18.508,12.269,2.264
Utile netto: quota del gruppo,47.276,32.265,18.289,12.217,2.022
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
