Millenium,2023,2022,2021,2020,2019
Fatturato,46.799,36.838,36.895,30.043,34.936
Proventi dalle attività ordinarie,48.209,37.853,37.471,30.907,36.813
Risultato operativo,5.476,5.615,5.249,2.300,3.740
Costo dell'indebitamento finanziario netto,59,134,101,158,117
Risultato delle aziende associate al bilancio di Gruppo,,,,,
Risultato netto delle attività dismesse,,,,,
Utile netto,3.554,3.736,3.565,1.556,2.442
Utile netto: quota del gruppo,3.348,3.585,3.447,1.506,2.395
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
