Millenium,2023,2022,2021
Fatturato,395.821,392.449,309.315
Proventi dalle attività ordinarie,395.821,392.449,309.315
Risultato operativo,62.861,77.944,52.128
Costo dell'indebitamento finanziario netto,2.286,6.951,8.049
Risultato delle aziende associate al bilancio di Gruppo,,,
Risultato netto delle attività dismesse,,,
Utile netto,57.838,54.585,33.371
Utile netto: quota del gruppo,55.266,52.044,3157
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31
Durata esercizio fiscale (mesi),12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,IFRS,IFRS,IFRS
