Millenium,2023,2022,2021,2020,2019
Fatturato,60.511,57.730,40.307,25.998,34.964
Acquisti consumati,28.030,27.042,18.163,11.744,13.250
Spese per il personale,4.336,3.646,3.737,3.038,3.447
Risultato d'esercizio,13.415,13.223,6.780,2.337,5.433
Imposte sugli utili,3.332,2.136,1.800,405,103
Utile netto,9.199,10.284,5.029,1.672,4.847
Utile netto: quota del gruppo,9.199,10.284,4.993,1.664,4.822
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,Local GAAP,Local GAAP,Local GAAP,Local GAAP,Local GAAP
