Millenium,2023,2022,2021,2020,2019
Fatturato,2.029.976,1.878.876,1.420.733,1.048.396,1.651.387
Proventi dalle attività ordinarie,2.038.690,1.887.321,1.425.205,1.073.677,1.695.809
Risultato operativo,84.906,46.235,57.500,2.836,98.560
Costo dell'indebitamento finanziario netto,17.513,8.074,8.542,4.547,5.475
Risultato delle aziende associate al bilancio di Gruppo,,,,-218,-18
Risultato netto delle attività dismesse,,,,,
Utile netto,47.134,26.550,35.071,-2.413,66.609
Utile netto: quota del gruppo,47.134,26.550,35.071,-2.413,66.609
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
