Millenium,2023,2022,2021,2020,2019
Fatturato,9.566,9.312,34.122,17.164,7.437
Acquisti consumati,433,72,23.536,10.271,1.667
Spese per il personale,6.628,6.322,5.917,1.947,745
Risultato d'esercizio,998,820,2.177,1.962,1.595
Imposte sugli utili,226,326,422,561,347
Utile netto,590,240,1.641,1.369,1.234
Utile netto: quota del gruppo,590,240,1.641,1.367,1.233
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,Local GAAP,Local GAAP,Local GAAP,Local GAAP,Local GAAP
