Millenium,2023,2022,2021,2020,2019
Fatturato,215.068,211.556,203.545,190.976,198.737
Proventi dalle attività ordinarie,215.068,211.556,203.545,190.976,198.737
Risultato operativo,14.381,11.478,-15.279,2.268,-2.761
Costo dell'indebitamento finanziario netto,3.579,4.052,3.715,2.052,2.322
Risultato delle aziende associate al bilancio di Gruppo,,,,,838
Risultato netto delle attività dismesse,,,,,
Utile netto,7.696,534,-21.029,-989,-1.202
Utile netto: quota del gruppo,7.696,534,-21.029,-989,-1.202
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
