Millenium,2023,2022,2021,2020,2019
Fatturato,36.010,42.508,39.391,32.129,30.916
Proventi dalle attività ordinarie,36.010,42.508,39.391,32.129,30.916
Risultato operativo,3.759,6.268,3.061,1.728,-1.237
Costo dell'indebitamento finanziario netto,729,699,97,-84,-4.380
Risultato delle aziende associate al bilancio di Gruppo,,,,,
Risultato netto delle attività dismesse,,,,,
Utile netto,1.675,3.697,1.062,1.263,802
Utile netto: quota del gruppo,1.646,3.776,1.258,1.640,1.504
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
