Millenium,2023,2022,2021,2020,2019
Fatturato,559.099,519.801,280.036,221.117,228.526
Proventi dalle attività ordinarie,559.099,519.801,280.036,221.117,228.526
Risultato operativo,64.655,44.692,33.626,26.033,25.795
Costo dell'indebitamento finanziario netto,1.575,1.962,198,-28,231
Risultato delle aziende associate al bilancio di Gruppo,1.171,972,139,-92,-63
Risultato netto delle attività dismesse,1.337,,,,
Utile netto,48.910,34.841,27.676,17.415,19.004
Utile netto: quota del gruppo,49.400,34.588,28.347,17.643,18.700
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
