Millenium,2023,2022,2021
Fatturato,5.578.385,6.350.813,4.450.454
Acquisti consumati,16.569,49.706,35.033
Spese per il personale,1.227.775,989.754,752.876
Risultato d'esercizio,-806.433,1.158.484,1.086.784
Imposte sugli utili,234.055,561.376,181.725
Utile netto,-1.181.726,588.066,850.677
Utile netto: quota del gruppo,-1.181.726,588.066,850.677
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31
Durata esercizio fiscale (mesi),12,12,12
Valuta e unità di misura,EUR - unità,EUR - unità,EUR - unità
Principi Contabili,Local GAAP,Local GAAP,Local GAAP
