Millenium,2023,2022,2021,2020,2019
Fatturato,237.949,253.053,263.259,184.906,155.923
Proventi dalle attività ordinarie,237.949,253.053,263.259,184.906,155.923
Risultato operativo,11.062,21.887,37.508,20.093,11.896
Costo dell'indebitamento finanziario netto,2.527,-240,811,1.177,879
Risultato delle aziende associate al bilancio di Gruppo,0,-48,0,8,-39
Risultato netto delle attività dismesse,,,,,
Utile netto,3.380,15.249,24.683,14.360,10.183
Utile netto: quota del gruppo,3.103,15.249,23.903,13.961,9.915
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
