Millenium,2023,2022,2021,2020,2019
Fatturato,793.339,741.094,555.863,469.826,270.752
Proventi dalle attività ordinarie,793.339,741.094,555.863,469.826,270.752
Risultato operativo,31.280,20.121,17.055,48.718,10.792
Costo dell'indebitamento finanziario netto,13.297,8.573,2.948,3.196,1.243
Risultato delle aziende associate al bilancio di Gruppo,,,,,
Risultato netto delle attività dismesse,,,,,
Utile netto,15.513,6.597,6.239,38.643,7.174
Utile netto: quota del gruppo,14.325,6.223,5.133,37.555,7.174
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
