Millenium,2023,2022,2021,2020,2019
Fatturato,3.985.162,4.684.164,4.690.947,4.491.613,3.945.371
Proventi dalle attività ordinarie,3.985.162,4.684.164,4.690.947,4.491.613,3.945.371
Risultato operativo,14.012,70.658,68.411,47.648,41.068
Costo dell'indebitamento finanziario netto,19.246,6.072,5.399,5.052,7.746
Risultato delle aziende associate al bilancio di Gruppo,,,,,
Risultato netto delle attività dismesse,,,,,
Utile netto,-11.875,47.346,44.080,31.792,23.553
Utile netto: quota del gruppo,-11.875,47.346,44.183,31.406,23.099
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
