Millenium,2023,2022,2021,2020,2019
Fatturato,93.756,94.264,63.148,69.259,101.973
Proventi dalle attività ordinarie,94.639,94.478,63.148,69.259,101.973
Risultato operativo,-2.449,652,-7.587,2.439,16.611
Costo dell'indebitamento finanziario netto,1.052,319,349,400,445
Risultato delle aziende associate al bilancio di Gruppo,,0,-3,61,
Risultato netto delle attività dismesse,,,,,
Utile netto,-3.118,-1.619,-10.408,132,19.242
Utile netto: quota del gruppo,-3.118,-1.619,-10.408,132,19.242
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
