Millenium,2023,2022,2021
Fatturato,10.397.944,9.432.526,5.879.074
Acquisti consumati,7.327.934,4.764.700,4.360.606
Spese per il personale,980.286,602.542,405.862
Risultato d'esercizio,138.004,1.664.096,1.341.843
Imposte sugli utili,38.298,457.506,376.895
Utile netto,4.785,1.124.627,932.320
Utile netto: quota del gruppo,20.949,1.137.808,917.215
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31
Durata esercizio fiscale (mesi),12,12,12
Valuta e unità di misura,EUR - unità,EUR - unità,EUR - unità
Principi Contabili,Local GAAP,Local GAAP,Local GAAP
