Millenium,2022,2021,2020
Fatturato,25.289.233,18.371.240,16.752.595
Acquisti consumati,3.229.249,582.474,350.762
Spese per il personale,13.768.325,9.904.879,5.064.345
Risultato d'esercizio,3.795.306,3.201.780,3.229.586
Imposte sugli utili,-344.804,66.413,923.804
Utile netto,3.745.811,2.502.950,2.056.564
Utile netto: quota del gruppo,3.742.268,2.108.628,1.731.117
Chiusura esercizio fiscale,2022-12-31,2021-12-31,2020-12-31
Durata esercizio fiscale (mesi),12,12,12
Valuta e unità di misura,EUR - unità,EUR - unità,EUR - unità
Principi Contabili,Local GAAP,Local GAAP,Local GAAP
