Millenium,2023,2022,2021,2020,2019
Fatturato,50.718,192.127,26.377,27.611,46.412
Proventi dalle attività ordinarie,56.556,194.808,42.181,32.808,51.388
Risultato operativo,9.071,44.421,1.550,-9.534,1.439
Costo dell'indebitamento finanziario netto,0,0,-53,-53,-51
Risultato delle aziende associate al bilancio di Gruppo,3.104,373,0,-11,-10
Risultato netto delle attività dismesse,,,,,
Utile netto,2.784,28.229,-2.380,-15.798,-6.975
Utile netto: quota del gruppo,3.671,16.148,2.452,-9.834,-3.303
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
