Millenium,2023,2022,2021,2020,2019
Prodotto netto bancario,649.442,601.049,525.360,376.441,438.471
Oneri generali d'esercizio,408.760,390.378,346.084,262.254,344.237
Risultato di gestione lordo,240.682,210.671,160.543,96.370,78.395
Costo del rischio,-4.111,1.583,-10.669,-27.954,20.303
Risultato di gestione,236.571,212.254,149.874,68.416,98.698
Risultato delle aziende associate al bilancio di Gruppo,,,,,
Risultato corrente ante imposte,237.557,211.796,149.874,91.877,175.821
Utile netto,161.916,141.887,102.303,69.142,123.188
Utile netto: quota del gruppo,160.110,141.086,100.582,68.804,123.097
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
