Millenium,2023,2022,2021,2020,2019
Prodotto netto bancario,103.531,105.928,108.028,91.055,91.858
Oneri generali d'esercizio,70.081,59.762,58.528,50.806,46.873
Risultato di gestione lordo,33.450,46.166,46.790,38.293,42.989
Costo del rischio,-7.746,-12.963,-12.333,-2.520,-1.632
Risultato di gestione,25.704,33.203,34.457,35.773,41.357
Risultato delle aziende associate al bilancio di Gruppo,25,-31,2,,
Risultato corrente ante imposte,25.729,33.172,34.459,36.863,41.349
Utile netto,17.227,22.490,23.523,25.669,29.719
Utile netto: quota del gruppo,16.506,22.034,23.251,26.153,29.719
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
