Millenium,2023,2022,2021
Fatturato,19.275.572,15.278.468,11.931.078
Acquisti consumati,13.337.877,11.214.516,9.831.680
Spese per il personale,1.947.270,1.481.445,1.329.983
Risultato d'esercizio,2.202.224,1.113.951,732.861
Imposte sugli utili,552.128,305.685,200.596
Utile netto,1.289.348,703.428,418.967
Utile netto: quota del gruppo,1.289.348,703.428,418.967
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31
Durata esercizio fiscale (mesi),12,12,12
Valuta e unità di misura,EUR - unità,EUR - unità,EUR - unità
Principi Contabili,Local GAAP,Local GAAP,Local GAAP
