Millenium,2023,2022,2021,2020,2019
Prodotto netto bancario,25.138,21.470,20.786,19.023,18.083
Oneri generali d'esercizio,11.329,10.934,10.920,9.971,9.290
Risultato di gestione lordo,13.809,10.536,9.866,9.052,8.793
Costo del rischio,-2.099,-3.394,-2.766,-4.214,-2.089
Risultato di gestione,11.710,7.142,7.100,4.838,6.704
Risultato delle aziende associate al bilancio di Gruppo,,,,,
Risultato corrente ante imposte,12.058,7.344,6.639,5.719,6.593
Utile netto,7.752,4.358,4.027,3.334,4.172
Utile netto: quota del gruppo,7.724,4.354,4.185,3.277,4.182
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - milioni,EUR - milioni,EUR - milioni,EUR - milioni,EUR - milioni
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
