Millenium,2023,2022,2021,2020,2019
Fatturato,287.915,270.313,256.694,240.160,262.403
Proventi dalle attività ordinarie,287.915,270.313,256.694,240.160,262.403
Risultato operativo,15.000,2.928,9.770,3.873,13.849
Costo dell'indebitamento finanziario netto,7.247,3.943,3.793,2.921,2.591
Risultato delle aziende associate al bilancio di Gruppo,2.367,2.547,2.589,442,1.178
Risultato netto delle attività dismesse,,,,,
Utile netto,5.331,3.428,7.237,2.954,9.514
Utile netto: quota del gruppo,5.463,3.833,7.500,2.761,8.990
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
