Millenium,2023,2022,2021,2020,2019
Fatturato,1.591,1.767,2.499,1.277,498.782
Acquisti consumati,,348,359,193,433.154
Spese per il personale,,289,195,78,24.997
Risultato d'esercizio,-366,-361,224,297,3.963
Imposte sugli utili,-32,-218,52,81,1.990
Utile netto,-219,-367,114,216,1.769
Utile netto: quota del gruppo,-219,-367,57,159,1.769
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - unità
Principi Contabili,Local GAAP,Local GAAP,Local GAAP,Local GAAP,Local GAAP
