Millenium,2023,2022,2021
Fatturato,32.521,28.367,18.125
Proventi dalle attività ordinarie,33.179,28.873,18.125
Risultato operativo,1.262,660,455
Costo dell'indebitamento finanziario netto,141,196,34
Risultato delle aziende associate al bilancio di Gruppo,,,
Risultato netto delle attività dismesse,,,
Utile netto,936,168,279
Utile netto: quota del gruppo,936,168,279
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31
Durata esercizio fiscale (mesi),12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,IFRS,IFRS,IFRS
