Millenium,2023,2022,2021,2020,2019
Fatturato,2.082.331,1.853.307,1.580.074,1.448.867,1.481.848
Proventi dalle attività ordinarie,2.082.331,1.853.307,1.580.074,1.448.867,1.481.848
Risultato operativo,558.008,437.326,490.190,469.016,465.266
Costo dell'indebitamento finanziario netto,72.516,31.306,16.661,16.449,13.555
Risultato delle aziende associate al bilancio di Gruppo,,,,,
Risultato netto delle attività dismesse,,,,,
Utile netto,389.214,312.336,385.966,355.027,368.866
Utile netto: quota del gruppo,389.214,312.336,385.966,354.984,368.825
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
