Millenium,2023,2022,2021,2020,2019
Fatturato,92.882,135.653,84.188,62.623,77.366
Proventi dalle attività ordinarie,95.565,140.517,88.007,64.985,80.327
Risultato operativo,10.832,11.193,7.673,8.368,6.878
Costo dell'indebitamento finanziario netto,2.893,2.269,2.136,2.148,2.311
Risultato delle aziende associate al bilancio di Gruppo,-41,-60,571,-299,-122
Risultato netto delle attività dismesse,-371,-2.234,0,,
Utile netto,4.267,2.920,3.857,3.622,3.476
Utile netto: quota del gruppo,3.438,1.682,3.189,2.610,2.174
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - milioni,EUR - milioni,EUR - milioni,EUR - milioni,EUR - milioni
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
