Millenium,2023,2022,2021
Fatturato,16.932.637,12.277.222,12.299.718
Acquisti consumati,716.638,1.456.221,1.667.431
Spese per il personale,3.860.507,3.268.734,3.119.155
Risultato d'esercizio,1.981.742,709.130,1.082.096
Imposte sugli utili,585.981,55.014,194.852
Utile netto,1.213.885,560.760,789.662
Utile netto: quota del gruppo,1.213.885,560.760,789.662
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31
Durata esercizio fiscale (mesi),12,12,12
Valuta e unità di misura,EUR - unità,EUR - unità,EUR - unità
Principi Contabili,Local GAAP,Local GAAP,Local GAAP
