Millenium,2023,2022,2021,2020,2019
Fatturato,212.424,160.445,102.503,79.810,178.601
Proventi dalle attività ordinarie,212.424,160.445,102.503,79.810,178.601
Risultato operativo,25.726,-54,2.855,-21.577,24.038
Costo dell'indebitamento finanziario netto,5.124,2.210,3.458,-5.341,4.107
Risultato delle aziende associate al bilancio di Gruppo,-3.458,388,-361,-1.392,-248
Risultato netto delle attività dismesse,,,,,
Utile netto,13.332,-838,-673,-12.473,12.637
Utile netto: quota del gruppo,12.803,724,1.638,-11.289,12.861
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
